Solution of SBHB orbit

v_0 = 4.000000e-001, A = 1.000000, B = 1.000000, delta = 1.000000e-008

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 7.992484e-004 -4.995303e-004 3.992485e-001 2.000000e-003
8.251253e-002 9.991707e-001 3.174334e-002 -1.984284e-002 3.696416e-001 8.051253e-002
1.661438e-001 9.967240e-001 6.141878e-002 -3.841796e-002 3.402711e-001 8.363132e-002
2.498593e-001 9.927802e-001 8.872478e-002 -5.557264e-002 3.123256e-001 8.371546e-002
3.339034e-001 9.874328e-001 1.138465e-001 -7.146661e-002 2.857415e-001 8.404410e-002
4.184946e-001 9.807541e-001 1.369378e-001 -8.624589e-002 2.604508e-001 8.459120e-002
5.038600e-001 9.727950e-001 1.581335e-001 -1.000494e-001 2.363755e-001 8.536535e-002
5.902345e-001 9.635868e-001 1.775495e-001 -1.130088e-001 2.134322e-001 8.637451e-002
6.778606e-001 9.531418e-001 1.952825e-001 -1.252493e-001 1.915358e-001 8.762616e-002
7.669920e-001 9.414537e-001 2.114117e-001 -1.368919e-001 1.706004e-001 8.913141e-002
8.579030e-001 9.284963e-001 2.259998e-001 -1.480565e-001 1.505383e-001 9.091097e-002
9.509060e-001 9.142196e-001 2.390943e-001 -1.588664e-001 1.312571e-001 9.300295e-002
1.046381e+000 8.985428e-001 2.507290e-001 -1.694546e-001 1.126551e-001 9.547502e-002
1.144827e+000 8.813402e-001 2.609224e-001 -1.799731e-001 9.461327e-002 9.844612e-002
1.246958e+000 8.624145e-001 2.696761e-001 -1.906090e-001 7.698078e-002 1.021310e-001
1.353901e+000 8.414413e-001 2.769678e-001 -2.016150e-001 5.954657e-002 1.069429e-001
1.467672e+000 8.178356e-001 2.827341e-001 -2.133814e-001 4.197226e-002 1.137711e-001
1.592549e+000 7.903667e-001 2.868198e-001 -2.266384e-001 2.360149e-002 1.248769e-001
1.730506e+000 7.580465e-001 2.887230e-001 -2.420993e-001 4.098302e-003 1.379566e-001
1.839595e+000 7.309269e-001 2.883454e-001 -2.552695e-001 -1.099466e-002 1.090892e-001
1.935248e+000 7.059196e-001 2.866633e-001 -2.677755e-001 -2.418452e-002 9.565339e-002
2.021623e+000 6.822674e-001 2.840562e-001 -2.800649e-001 -3.621362e-002 8.637509e-002
2.100762e+000 6.596239e-001 2.807468e-001 -2.923645e-001 -4.746947e-002 7.913913e-002
2.173855e+000 6.378063e-001 2.768876e-001 -3.048087e-001 -5.819038e-002 7.309297e-002
2.241685e+000 6.167080e-001 2.725922e-001 -3.174865e-001 -6.853905e-002 6.782977e-002
