Solution of SBHB orbit

v_0 = 2.236068e-004, A = 0.000000, B = 0.000000, delta = 1.000000e-006

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 4.472135e-007 -5.000002e-004 2.236067e-004 2.000000e-003
5.975091e-002 9.995537e-001 1.335872e-005 -1.494217e-002 2.235069e-004 5.775091e-002
3.126456e-001 9.877314e-001 6.962213e-005 -7.880677e-002 2.208294e-004 2.528947e-001
7.576975e-001 9.264237e-001 1.651223e-004 -1.992744e-001 2.058476e-004 4.450519e-001
1.068474e+000 8.496836e-001 2.260286e-004 -2.974142e-001 1.840481e-004 3.107769e-001
1.310032e+000 7.670812e-001 2.673339e-004 -3.896443e-001 1.557092e-004 2.415575e-001
1.498808e+000 6.854025e-001 2.936847e-004 -4.790617e-001 1.209708e-004 1.887761e-001
1.646946e+000 6.081377e-001 3.087439e-004 -5.676130e-001 7.952098e-005 1.481382e-001
1.763475e+000 5.370275e-001 3.153599e-004 -6.565469e-001 3.083309e-005 1.165287e-001
1.855336e+000 4.727492e-001 3.157581e-004 -7.467575e-001 -2.578104e-005 9.186089e-002
1.927914e+000 4.153503e-001 3.116632e-004 -8.389322e-001 -9.114601e-005 7.257808e-002
1.985397e+000 3.645229e-001 3.043986e-004 -9.336277e-001 -1.662124e-004 5.748273e-002
2.031042e+000 3.197744e-001 2.949705e-004 -1.031314e+000 -2.520537e-004 4.564594e-002
2.067389e+000 2.805331e-001 2.841369e-004 -1.132399e+000 -3.498679e-004 3.634630e-002
2.096413e+000 2.462110e-001 2.724638e-004 -1.237249e+000 -4.609817e-004 2.902394e-002
2.119657e+000 2.162403e-001 2.603694e-004 -1.346198e+000 -5.868565e-004 2.324451e-002
2.138328e+000 1.900925e-001 2.481591e-004 -1.459557e+000 -7.290957e-004 1.867110e-002
2.153371e+000 1.672873e-001 2.360528e-004 -1.577618e+000 -8.894536e-004 1.504225e-002
2.165525e+000 1.473954e-001 2.242053e-004 -1.700660e+000 -1.069845e-003 1.215484e-002
2.175376e+000 1.300370e-001 2.127227e-004 -1.828953e+000 -1.272353e-003 9.850822e-003
2.183383e+000 1.148789e-001 2.016748e-004 -1.962757e+000 -1.499246e-003 8.007034e-003
2.189911e+000 1.016306e-001 1.911040e-004 -2.102328e+000 -1.752982e-003 6.527273e-003
2.195247e+000 9.003927e-002 1.810328e-004 -2.247918e+000 -2.036225e-003 5.336238e-003
2.199622e+000 7.988606e-002 1.714693e-004 -2.399774e+000 -2.351859e-003 4.374838e-003
2.203218e+000 7.098149e-002 1.624108e-004 -2.558141e+000 -2.702999e-003 3.596588e-003
2.206183e+000 6.316179e-002 1.538472e-004 -2.723264e+000 -3.093007e-003 2.964824e-003
2.208634e+000 5.628551e-002 1.457635e-004 -2.895387e+000 -3.525506e-003 2.450548e-003
2.210664e+000 5.023043e-002 1.381411e-004 -3.074752e+000 -4.004398e-003 2.030767e-003
2.212352e+000 4.489101e-002 1.309593e-004 -3.261602e+000 -4.533879e-003 1.687195e-003
2.213757e+000 4.017596e-002 1.241965e-004 -3.456183e+000 -5.118456e-003 1.405255e-003
2.214930e+000 3.600637e-002 1.178303e-004 -3.658737e+000 -5.762964e-003 1.173290e-003
2.215912e+000 3.231389e-002 1.118387e-004 -3.869512e+000 -6.472591e-003 9.819578e-004
2.216736e+000 2.903930e-002 1.062000e-004 -4.088755e+000 -7.252888e-003 8.237470e-004
2.217428e+000 2.613125e-002 1.008929e-004 -4.316713e+000 -8.109799e-003 6.926048e-004
2.218012e+000 2.354510e-002 9.589744e-005 -4.553639e+000 -9.049675e-003 5.836403e-004
2.218505e+000 2.124207e-002 9.119411e-005 -4.799784e+000 -1.007930e-002 4.928913e-004
2.218922e+000 1.918838e-002 8.676465e-005 -5.055402e+000 -1.120592e-002 4.171397e-004
2.219276e+000 1.735459e-002 8.259173e-005 -5.320751e+000 -1.243724e-002 3.537653e-004
2.219576e+000 1.571500e-002 7.865905e-005 -5.596088e+000 -1.378150e-002 3.006297e-004
2.219832e+000 1.424714e-002 7.495128e-005 -5.881676e+000 -1.524744e-002 2.559832e-004
2.220051e+000 1.293134e-002 7.145405e-005 -6.177777e+000 -1.684438e-002 2.183908e-004
2.220238e+000 1.175039e-002 6.815394e-005 -6.484658e+000 -1.858221e-002 1.866732e-004
2.220397e+000 1.068915e-002 6.503838e-005 -6.802586e+000 -2.047145e-002 1.598584e-004
2.220535e+000 9.734344e-003 6.209565e-005 -7.131833e+000 -2.252324e-002 1.371440e-004
2.220652e+000 8.874275e-003 5.931479e-005 -7.472673e+000 -2.474943e-002 1.178662e-004
2.220754e+000 8.098641e-003 5.668560e-005 -7.825380e+000 -2.716253e-002 1.014742e-004
2.220841e+000 7.398357e-003 5.419856e-005 -8.190236e+000 -2.977583e-002 8.751033e-005
2.220917e+000 6.765393e-003 5.184482e-005 -8.567520e+000 -3.260339e-002 7.559352e-005
2.220982e+000 6.192650e-003 4.961610e-005 -8.957517e+000 -3.566006e-002 6.540574e-005
2.221039e+000 5.673840e-003 4.750469e-005 -9.360515e+000 -3.896155e-002 5.668110e-005
2.221088e+000 5.203388e-003 4.550343e-005 -9.776802e+000 -4.252446e-002 4.919682e-005
2.221131e+000 4.776344e-003 4.360561e-005 -1.020667e+001 -4.636632e-002 4.276595e-005
2.221168e+000 4.388309e-003 4.180500e-005 -1.065042e+001 -5.050560e-002 3.723126e-005
2.221201e+000 4.035369e-003 4.009578e-005 -1.110835e+001 -5.496180e-002 3.246030e-005
2.221229e+000 3.714034e-003 3.847251e-005 -1.158075e+001 -5.975547e-002 2.834129e-005
2.221254e+000 3.421196e-003 3.693013e-005 -1.206794e+001 -6.490824e-002 2.477971e-005
2.221276e+000 3.154074e-003 3.546391e-005 -1.257021e+001 -7.044289e-002 2.169553e-005
2.221295e+000 2.910187e-003 3.406942e-005 -1.308789e+001 -7.638341e-002 1.902085e-005
2.221311e+000 2.687311e-003 3.274255e-005 -1.362127e+001 -8.275499e-002 1.669796e-005
2.221326e+000 2.483455e-003 3.147942e-005 -1.417069e+001 -8.958414e-002 1.467775e-005
2.221339e+000 2.296834e-003 3.027643e-005 -1.473644e+001 -9.689868e-002 1.291837e-005
2.221350e+000 2.125844e-003 2.913021e-005 -1.531887e+001 -1.047279e-001 1.138405e-005
2.221360e+000 1.969044e-003 2.803758e-005 -1.591829e+001 -1.131024e-001 1.004423e-005
2.221369e+000 1.825138e-003 2.699559e-005 -1.653503e+001 -1.220544e-001 8.872738e-006
2.221377e+000 1.692960e-003 2.600147e-005 -1.716941e+001 -1.316176e-001 7.847107e-006
2.221384e+000 1.571456e-003 2.505262e-005 -1.782178e+001 -1.418275e-001 6.948053e-006
2.221390e+000 1.459677e-003 2.414659e-005 -1.849247e+001 -1.527211e-001 6.158982e-006
2.221396e+000 1.356766e-003 2.328110e-005 -1.918182e+001 -1.643371e-001 5.465604e-006
2.221400e+000 1.261949e-003 2.245400e-005 -1.989017e+001 -1.767163e-001 4.855589e-006
2.221405e+000 1.174524e-003 2.166327e-005 -2.061786e+001 -1.899012e-001 4.318289e-006
2.221409e+000 1.093856e-003 2.090702e-005 -2.136524e+001 -2.039361e-001 3.844495e-006
2.221412e+000 1.019370e-003 2.018346e-005 -2.213267e+001 -2.188676e-001 3.426231e-006
2.221415e+000 9.505439e-004 1.949091e-005 -2.292050e+001 -2.347442e-001 3.056580e-006
2.221418e+000 8.869035e-004 1.882781e-005 -2.372908e+001 -2.516167e-001 2.729537e-006
2.221420e+000 8.280184e-004 1.819266e-005 -2.455877e+001 -2.695381e-001 2.439882e-006
2.221422e+000 7.734968e-004 1.758406e-005 -2.540994e+001 -2.885637e-001 2.183072e-006
2.221424e+000 7.229824e-004 1.700069e-005 -2.628295e+001 -3.087512e-001 1.955147e-006
2.221426e+000 6.761505e-004 1.644132e-005 -2.717817e+001 -3.301607e-001 1.752654e-006
2.221428e+000 6.327050e-004 1.590477e-005 -2.809598e+001 -3.528551e-001 1.572576e-006
2.221429e+000 5.923761e-004 1.538993e-005 -2.903673e+001 -3.768998e-001 1.412274e-006
2.221430e+000 5.549171e-004 1.489575e-005 -3.000082e+001 -4.023630e-001 1.269439e-006
2.221432e+000 5.201029e-004 1.442126e-005 -3.098863e+001 -4.293156e-001 1.142047e-006
2.221433e+000 4.877274e-004 1.396552e-005 -3.200052e+001 -4.578316e-001 1.028322e-006
2.221433e+000 4.576024e-004 1.352764e-005 -3.303690e+001 -4.879880e-001 9.267056e-007
2.221434e+000 4.295551e-004 1.310679e-005 -3.409815e+001 -5.198650e-001 8.358254e-007
2.221435e+000 4.034276e-004 1.270220e-005 -3.518465e+001 -5.535457e-001 7.544753e-007
2.221436e+000 3.790749e-004 1.231310e-005 -3.629681e+001 -5.891168e-001 6.815920e-007
2.221436e+000 3.563639e-004 1.193879e-005 -3.743503e+001 -6.266685e-001 6.162382e-007
2.221437e+000 3.351726e-004 1.157860e-005 -3.859969e+001 -6.662943e-001 5.575863e-007
2.221437e+000 3.153887e-004 1.123190e-005 -3.979121e+001 -7.080916e-001 5.049050e-007
2.221438e+000 2.969091e-004 1.089809e-005 -4.100998e+001 -7.521613e-001 4.575476e-007
2.221438e+000 2.796389e-004 1.057659e-005 -4.225642e+001 -7.986083e-001 4.149417e-007
2.221439e+000 2.634908e-004 1.026686e-005 -4.353094e+001 -8.475416e-001 3.765799e-007
2.221439e+000 2.483842e-004 9.968396e-006 -4.483395e+001 -8.990743e-001 3.420122e-007
2.221439e+000 2.342451e-004 9.680702e-006 -4.616587e+001 -9.533234e-001 3.108394e-007
2.221440e+000 2.210050e-004 9.403317e-006 -4.752712e+001 -1.010411e+000 2.827066e-007
2.221440e+000 2.086008e-004 9.135801e-006 -4.891811e+001 -1.070462e+000 2.572981e-007
2.221440e+000 1.969744e-004 8.877734e-006 -5.033928e+001 -1.133609e+000 2.343333e-007
2.221440e+000 1.860717e-004 8.628718e-006 -5.179104e+001 -1.199986e+000 2.135618e-007
2.221441e+000 1.758432e-004 8.388376e-006 -5.327383e+001 -1.269734e+000 1.947608e-007
2.221441e+000 1.662427e-004 8.156346e-006 -5.478808e+001 -1.342999e+000 1.777312e-007
2.221441e+000 1.572277e-004 7.932285e-006 -5.633423e+001 -1.419930e+000 1.622952e-007
2.221441e+000 1.487588e-004 7.715868e-006 -5.791271e+001 -1.500685e+000 1.482942e-007
2.221441e+000 1.407994e-004 7.506783e-006 -5.952396e+001 -1.585423e+000 1.355861e-007
2.221441e+000 1.333157e-004 7.304733e-006 -6.116842e+001 -1.674313e+000 1.240438e-007
2.221441e+000 1.262763e-004 7.109436e-006 -6.284655e+001 -1.767527e+000 1.135533e-007
2.221441e+000 1.196520e-004 6.920623e-006 -6.455877e+001 -1.865244e+000 1.040126e-007
2.221442e+000 1.134158e-004 6.738037e-006 -6.630555e+001 -1.967649e+000 9.533017e-008
2.221442e+000 1.075426e-004 6.561432e-006 -6.808734e+001 -2.074932e+000 8.742372e-008
2.221442e+000 1.020091e-004 6.390574e-006 -6.990459e+001 -2.187292e+000 8.021939e-008
2.221442e+000 9.679349e-005 6.225241e-006 -7.175775e+001 -2.304932e+000 7.365078e-008
2.221442e+000 9.187568e-005 6.065218e-006 -7.364728e+001 -2.428064e+000 6.765814e-008
2.221442e+000 8.723686e-005 5.910302e-006 -7.557365e+001 -2.556905e+000 6.218767e-008
2.221442e+000 8.285955e-005 5.760299e-006 -7.753731e+001 -2.691679e+000 5.719089e-008
2.221442e+000 7.872745e-005 5.615022e-006 -7.953873e+001 -2.832621e+000 5.262412e-008
2.221442e+000 7.482539e-005 5.474294e-006 -8.157839e+001 -2.979968e+000 4.844793e-008
2.221442e+000 7.113921e-005 5.337943e-006 -8.365673e+001 -3.133970e+000 4.462673e-008
2.221442e+000 6.765573e-005 5.205808e-006 -8.577424e+001 -3.294880e+000 4.112837e-008
2.221442e+000 6.436262e-005 5.077733e-006 -8.793139e+001 -3.462963e+000 3.792379e-008
2.221442e+000 6.124838e-005 4.953568e-006 -9.012866e+001 -3.638490e+000 3.498670e-008
2.221442e+000 5.830229e-005 4.833171e-006 -9.236651e+001 -3.821742e+000 3.229330e-008
2.221442e+000 5.551430e-005 4.716404e-006 -9.464542e+001 -4.013008e+000 2.982206e-008
2.221442e+000 5.287504e-005 4.603138e-006 -9.696588e+001 -4.212585e+000 2.755345e-008
2.221442e+000 5.037574e-005 4.493247e-006 -9.932836e+001 -4.420780e+000 2.546975e-008
2.221442e+000 4.800820e-005 4.386609e-006 -1.017333e+002 -4.637910e+000 2.355491e-008
2.221442e+000 4.576473e-005 4.283111e-006 -1.041813e+002 -4.864301e+000 2.179435e-008
2.221442e+000 4.363816e-005 4.182641e-006 -1.066728e+002 -5.100288e+000 2.017480e-008
2.221442e+000 4.162174e-005 4.085094e-006 -1.092082e+002 -5.346217e+000 1.868424e-008
2.221442e+000 3.970918e-005 3.990367e-006 -1.117880e+002 -5.602445e+000 1.731171e-008
2.221443e+000 3.789455e-005 3.898363e-006 -1.144128e+002 -5.869338e+000 1.604726e-008
2.221443e+000 3.617232e-005 3.808989e-006 -1.170830e+002 -6.147273e+000 1.488180e-008
2.221443e+000 3.453728e-005 3.722153e-006 -1.197991e+002 -6.436638e+000 1.380708e-008
2.221443e+000 3.298456e-005 3.637771e-006 -1.225616e+002 -6.737833e+000 1.281557e-008
2.221443e+000 3.150956e-005 3.555759e-006 -1.253710e+002 -7.051269e+000 1.190039e-008
2.221443e+000 3.010799e-005 3.476036e-006 -1.282278e+002 -7.377370e+000 1.105528e-008
2.221443e+000 2.877581e-005 3.398527e-006 -1.311325e+002 -7.716569e+000 1.027453e-008
2.221443e+000 2.750922e-005 3.323158e-006 -1.340855e+002 -8.069314e+000 9.552896e-009
2.221443e+000 2.630465e-005 3.249858e-006 -1.370874e+002 -8.436066e+000 8.885618e-009
2.221443e+000 2.515874e-005 3.178559e-006 -1.401386e+002 -8.817295e+000 8.268326e-009
2.221443e+000 2.406833e-005 3.109195e-006 -1.432397e+002 -9.213489e+000 7.697028e-009
2.221443e+000 2.303045e-005 3.041704e-006 -1.463911e+002 -9.625147e+000 7.168068e-009
2.221443e+000 2.204229e-005 2.976024e-006 -1.495933e+002 -1.005278e+001 6.678100e-009
2.221443e+000 2.110124e-005 2.912097e-006 -1.528468e+002 -1.049692e+001 6.224059e-009
2.221443e+000 2.020479e-005 2.849868e-006 -1.561521e+002 -1.095810e+001 5.803136e-009
2.221443e+000 1.935062e-005 2.789282e-006 -1.595097e+002 -1.143688e+001 5.412753e-009
2.221443e+000 1.853652e-005 2.730287e-006 -1.629201e+002 -1.193383e+001 5.050547e-009
2.221443e+000 1.776041e-005 2.672832e-006 -1.663837e+002 -1.244954e+001 4.714349e-009
2.221443e+000 1.702032e-005 2.616870e-006 -1.699010e+002 -1.298461e+001 4.402166e-009
2.221443e+000 1.631442e-005 2.562354e-006 -1.734726e+002 -1.353965e+001 4.112169e-009
2.221443e+000 1.564095e-005 2.509239e-006 -1.770989e+002 -1.411530e+001 3.842676e-009
2.221443e+000 1.499827e-005 2.457481e-006 -1.807804e+002 -1.471221e+001 3.592139e-009
2.221443e+000 1.438481e-005 2.407039e-006 -1.845175e+002 -1.533104e+001 3.359136e-009
2.221443e+000 1.379911e-005 2.357873e-006 -1.883108e+002 -1.597249e+001 3.142359e-009
2.221443e+000 1.323978e-005 2.309943e-006 -1.921606e+002 -1.663724e+001 2.940601e-009
2.221443e+000 1.270550e-005 2.263213e-006 -1.960675e+002 -1.732603e+001 2.752751e-009
2.221443e+000 1.219504e-005 2.217646e-006 -2.000320e+002 -1.803958e+001 2.577788e-009
2.221443e+000 1.170722e-005 2.173207e-006 -2.040544e+002 -1.877865e+001 2.414766e-009
2.221443e+000 1.124092e-005 2.129863e-006 -2.081353e+002 -1.954403e+001 2.262818e-009
2.221443e+000 1.079511e-005 2.087581e-006 -2.122751e+002 -2.033649e+001 2.121139e-009
2.221443e+000 1.036877e-005 2.046329e-006 -2.164742e+002 -2.115687e+001 1.988989e-009
2.221443e+000 9.960979e-006 2.006078e-006 -2.207331e+002 -2.200598e+001 1.865685e-009
2.221443e+000 9.570833e-006 1.966798e-006 -2.250522e+002 -2.288469e+001 1.750593e-009
2.221443e+000 9.197491e-006 1.928461e-006 -2.294320e+002 -2.379387e+001 1.643130e-009
2.221443e+000 8.840151e-006 1.891039e-006 -2.338729e+002 -2.473441e+001 1.542757e-009
2.221443e+000 8.498055e-006 1.854506e-006 -2.383753e+002 -2.570724e+001 1.448974e-009
2.221443e+000 8.170483e-006 1.818836e-006 -2.429395e+002 -2.671328e+001 1.361319e-009
2.221443e+000 7.856753e-006 1.784005e-006 -2.475662e+002 -2.775352e+001 1.279364e-009
2.221443e+000 7.556217e-006 1.749989e-006 -2.522555e+002 -2.882892e+001 1.202714e-009
2.221443e+000 7.268261e-006 1.716765e-006 -2.570079e+002 -2.994050e+001 1.131002e-009
2.221443e+000 6.992303e-006 1.684310e-006 -2.618239e+002 -3.108929e+001 1.063888e-009
2.221443e+000 6.727790e-006 1.652603e-006 -2.667037e+002 -3.227635e+001 1.001058e-009
2.221443e+000 6.474196e-006 1.621623e-006 -2.716477e+002 -3.350274e+001 9.422199e-010
2.221443e+000 6.231022e-006 1.591349e-006 -2.766564e+002 -3.476959e+001 8.871021e-010
2.221443e+000 5.997795e-006 1.561762e-006 -2.817299e+002 -3.607801e+001 8.354537e-010
2.221443e+000 5.774064e-006 1.532844e-006 -2.868688e+002 -3.742916e+001 7.870414e-010
2.221443e+000 5.559401e-006 1.504575e-006 -2.920733e+002 -3.882422e+001 7.416487e-010
2.221443e+000 5.353400e-006 1.476938e-006 -2.973436e+002 -4.026441e+001 6.990743e-010
2.221443e+000 5.155673e-006 1.449916e-006 -3.026802e+002 -4.175095e+001 6.591313e-010
2.221443e+000 4.965854e-006 1.423492e-006 -3.080833e+002 -4.328511e+001 6.216460e-010
2.221443e+000 4.783591e-006 1.397650e-006 -3.135532e+002 -4.486817e+001 5.864568e-010
2.221443e+000 4.608552e-006 1.372374e-006 -3.190902e+002 -4.650146e+001 5.534134e-010
2.221443e+000 4.440421e-006 1.347650e-006 -3.246944e+002 -4.818632e+001 5.223759e-010
2.221443e+000 4.278894e-006 1.323461e-006 -3.303662e+002 -4.992412e+001 4.932143e-010
2.221443e+000 4.123686e-006 1.299795e-006 -3.361057e+002 -5.171627e+001 4.658074e-010
