Solution of SBHB orbit

v_0 = 1.000000e-001, A = 0.500000, B = 0.500000, delta = 1.000000e-008

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 1.998005e-004 -4.995015e-004 9.980055e-002 2.000000e-003
8.134043e-002 9.991947e-001 7.810449e-003 -1.954158e-002 9.212309e-002 7.934043e-002
1.606809e-001 9.969355e-001 1.482968e-002 -3.718946e-002 8.488842e-002 7.934043e-002
2.421508e-001 9.932115e-001 2.145776e-002 -5.402615e-002 7.789530e-002 8.146992e-002
3.258751e-001 9.880060e-001 2.769379e-002 -7.013543e-002 7.114100e-002 8.372435e-002
4.120426e-001 9.812882e-001 3.353975e-002 -8.561434e-002 6.461702e-002 8.616746e-002
5.008746e-001 9.730118e-001 3.899674e-002 -1.005668e-001 5.831256e-002 8.883203e-002
5.926545e-001 9.631080e-001 4.406567e-002 -1.151097e-001 5.221296e-002 9.177984e-002
6.877688e-001 9.514750e-001 4.874744e-002 -1.293809e-001 4.629784e-002 9.511431e-002
7.867775e-001 9.379586e-001 5.304303e-002 -1.435516e-001 4.053829e-002 9.900868e-002
8.905499e-001 9.223160e-001 5.695354e-002 -1.578497e-001 3.489144e-002 1.037724e-001
1.000576e+000 9.041337e-001 6.048086e-002 -1.726115e-001 2.928795e-002 1.100256e-001
1.119836e+000 8.826046e-001 6.363078e-002 -1.884218e-001 2.359701e-002 1.192607e-001
1.256376e+000 8.556359e-001 6.643097e-002 -2.066717e-001 1.748293e-002 1.365399e-001
1.388399e+000 8.271551e-001 6.836663e-002 -2.249237e-001 1.188287e-002 1.320226e-001
1.497183e+000 8.018328e-001 6.941593e-002 -2.407811e-001 7.426555e-003 1.087844e-001
1.593665e+000 7.778873e-001 6.994468e-002 -2.557594e-001 3.540417e-003 9.648167e-002
1.681405e+000 7.548133e-001 7.010086e-002 -2.703807e-001 1.781493e-005 8.774063e-002
1.762177e+000 7.323949e-001 6.997052e-002 -2.849193e-001 -3.252732e-003 8.077169e-002
1.837027e+000 7.105290e-001 6.961191e-002 -2.995440e-001 -6.341794e-003 7.484996e-002
1.906655e+000 6.891639e-001 6.906797e-002 -3.143703e-001 -9.298717e-003 6.962754e-002
1.971571e+000 6.682731e-001 6.837210e-002 -3.294830e-001 -1.216029e-002 6.491597e-002
2.032175e+000 6.478437e-001 6.755113e-002 -3.449469e-001 -1.495518e-002 6.060433e-002
2.088798e+000 6.278695e-001 6.662715e-002 -3.608143e-001 -1.770649e-002 5.662312e-002
2.141724e+000 6.083481e-001 6.561859e-002 -3.771278e-001 -2.043329e-002 5.292641e-002
2.191207e+000 5.892781e-001 6.454099e-002 -3.939238e-001 -2.315168e-002 4.948228e-002
2.237474e+000 5.706584e-001 6.340757e-002 -4.112338e-001 -2.587549e-002 4.626733e-002
2.280737e+000 5.524872e-001 6.222955e-002 -4.290857e-001 -2.861677e-002 4.326342e-002
2.321193e+000 5.347618e-001 6.101656e-002 -4.475048e-001 -3.138616e-002 4.045573e-002
2.359025e+000 5.174783e-001 5.977680e-002 -4.665140e-001 -3.419322e-002 3.783147e-002
2.394404e+000 5.006321e-001 5.851731e-002 -4.861349e-001 -3.704655e-002 3.537914e-002
2.427492e+000 4.842173e-001 5.724411e-002 -5.063871e-001 -3.995402e-002 3.308807e-002
2.458440e+000 4.682274e-001 5.596235e-002 -5.272889e-001 -4.292284e-002 3.094811e-002
2.487390e+000 4.526555e-001 5.467645e-002 -5.488571e-001 -4.595962e-002 2.894956e-002
2.514473e+000 4.374944e-001 5.339024e-002 -5.711066e-001 -4.907045e-002 2.708304e-002
2.539812e+000 4.227368e-001 5.210702e-002 -5.940502e-001 -5.226091e-002 2.533955e-002
2.563523e+000 4.083758e-001 5.082966e-002 -6.176982e-001 -5.553605e-002 2.371048e-002
2.585710e+000 3.944046e-001 4.956070e-002 -6.420584e-001 -5.890040e-002 2.218768e-002
2.606474e+000 3.808170e-001 4.830239e-002 -6.671352e-001 -6.235797e-002 2.076350e-002
2.625905e+000 3.676073e-001 4.705673e-002 -6.929300e-001 -6.591222e-002 1.943085e-002
2.644088e+000 3.547703e-001 4.582554e-002 -7.194406e-001 -6.956606e-002 1.818322e-002
2.661103e+000 3.423012e-001 4.461044e-002 -7.466615e-001 -7.332189e-002 1.701471e-002
2.677023e+000 3.301955e-001 4.341291e-002 -7.745841e-001 -7.718160e-002 1.591997e-002
2.691917e+000 3.184489e-001 4.223429e-002 -8.031970e-001 -8.114664e-002 1.489418e-002
2.705850e+000 3.070569e-001 4.107575e-002 -8.324865e-001 -8.521806e-002 1.393300e-002
2.718882e+000 2.960153e-001 3.993833e-002 -8.624370e-001 -8.939660e-002 1.303250e-002
2.731071e+000 2.853192e-001 3.882295e-002 -8.930319e-001 -9.368273e-002 1.218905e-002
2.742471e+000 2.749639e-001 3.773037e-002 -9.242539e-001 -9.807678e-002 1.139933e-002
2.753131e+000 2.649439e-001 3.666122e-002 -9.560856e-001 -1.025790e-001 1.066019e-002
2.763099e+000 2.552537e-001 3.561601e-002 -9.885100e-001 -1.071894e-001 9.968687e-003
2.772421e+000 2.458871e-001 3.459512e-002 -1.021511e+000 -1.119085e-001 9.322012e-003
2.781139e+000 2.368379e-001 3.359884e-002 -1.055073e+000 -1.167362e-001 8.717485e-003
2.789292e+000 2.280992e-001 3.262731e-002 -1.089183e+000 -1.216732e-001 8.152550e-003
2.796916e+000 2.196642e-001 3.168063e-002 -1.123828e+000 -1.267197e-001 7.624766e-003
2.804048e+000 2.115256e-001 3.075877e-002 -1.158997e+000 -1.318766e-001 7.131806e-003
2.810720e+000 2.036759e-001 2.986164e-002 -1.194681e+000 -1.371446e-001 6.671457e-003
2.816961e+000 1.961078e-001 2.898909e-002 -1.230871e+000 -1.425246e-001 6.241622e-003
2.822801e+000 1.888134e-001 2.814090e-002 -1.267562e+000 -1.480178e-001 5.840317e-003
2.828267e+000 1.817850e-001 2.731678e-002 -1.304748e+000 -1.536255e-001 5.465668e-003
2.833383e+000 1.750149e-001 2.651641e-002 -1.342425e+000 -1.593492e-001 5.115914e-003
2.838172e+000 1.684953e-001 2.573944e-002 -1.380592e+000 -1.651906e-001 4.789395e-003
2.842657e+000 1.622184e-001 2.498546e-002 -1.419245e+000 -1.711514e-001 4.484559e-003
2.846857e+000 1.561766e-001 2.425404e-002 -1.458387e+000 -1.772337e-001 4.199947e-003
2.850791e+000 1.503620e-001 2.354473e-002 -1.498015e+000 -1.834395e-001 3.934196e-003
2.854477e+000 1.447673e-001 2.285707e-002 -1.538134e+000 -1.897712e-001 3.686032e-003
2.857931e+000 1.393850e-001 2.219055e-002 -1.578743e+000 -1.962310e-001 3.454263e-003
2.861169e+000 1.342076e-001 2.154468e-002 -1.619847e+000 -2.028216e-001 3.237778e-003
2.864205e+000 1.292282e-001 2.091894e-002 -1.661449e+000 -2.095456e-001 3.035541e-003
2.867051e+000 1.244396e-001 2.031283e-002 -1.703552e+000 -2.164058e-001 2.846583e-003
2.869721e+000 1.198349e-001 1.972581e-002 -1.746162e+000 -2.234050e-001 2.670004e-003
2.872226e+000 1.154075e-001 1.915737e-002 -1.789283e+000 -2.305464e-001 2.504963e-003
2.874577e+000 1.111508e-001 1.860698e-002 -1.832921e+000 -2.378328e-001 2.350679e-003
2.876783e+000 1.070585e-001 1.807413e-002 -1.877080e+000 -2.452677e-001 2.206423e-003
2.878855e+000 1.031244e-001 1.755831e-002 -1.921768e+000 -2.528543e-001 2.071517e-003
2.880800e+000 9.934252e-002 1.705900e-002 -1.966990e+000 -2.605959e-001 1.945329e-003
2.882628e+000 9.570700e-002 1.657570e-002 -2.012752e+000 -2.684962e-001 1.827271e-003
2.884344e+000 9.221226e-002 1.610792e-002 -2.059061e+000 -2.765587e-001 1.716796e-003
2.885958e+000 8.885284e-002 1.565518e-002 -2.105923e+000 -2.847871e-001 1.613395e-003
2.887474e+000 8.562350e-002 1.521699e-002 -2.153345e+000 -2.931851e-001 1.516593e-003
2.888900e+000 8.251914e-002 1.479290e-002 -2.201334e+000 -3.017567e-001 1.425949e-003
2.890241e+000 7.953487e-002 1.438244e-002 -2.249897e+000 -3.105058e-001 1.341052e-003
2.891503e+000 7.666596e-002 1.398517e-002 -2.299041e+000 -3.194364e-001 1.261519e-003
2.892690e+000 7.390785e-002 1.360067e-002 -2.348773e+000 -3.285527e-001 1.186996e-003
2.893807e+000 7.125615e-002 1.322849e-002 -2.399099e+000 -3.378589e-001 1.117149e-003
2.894859e+000 6.870664e-002 1.286825e-002 -2.450028e+000 -3.473593e-001 1.051670e-003
2.895849e+000 6.625523e-002 1.251953e-002 -2.501565e+000 -3.570583e-001 9.902715e-004
2.896782e+000 6.389803e-002 1.218195e-002 -2.553719e+000 -3.669605e-001 9.326859e-004
2.897660e+000 6.163126e-002 1.185514e-002 -2.606496e+000 -3.770703e-001 8.786635e-004
2.898488e+000 5.945130e-002 1.153872e-002 -2.659904e+000 -3.873925e-001 8.279717e-004
2.899269e+000 5.735469e-002 1.123234e-002 -2.713949e+000 -3.979319e-001 7.803939e-004
2.900004e+000 5.533808e-002 1.093566e-002 -2.768639e+000 -4.086932e-001 7.357282e-004
2.900698e+000 5.339826e-002 1.064836e-002 -2.823981e+000 -4.196815e-001 6.937863e-004
2.901353e+000 5.153216e-002 1.037010e-002 -2.879982e+000 -4.309018e-001 6.543927e-004
2.901970e+000 4.973682e-002 1.010058e-002 -2.936649e+000 -4.423593e-001 6.173838e-004
2.902553e+000 4.800940e-002 9.839491e-003 -2.993989e+000 -4.540592e-001 5.826069e-004
2.903102e+000 4.634718e-002 9.586553e-003 -3.052009e+000 -4.660068e-001 5.499197e-004
2.903622e+000 4.474754e-002 9.341482e-003 -3.110717e+000 -4.782077e-001 5.191892e-004
2.904112e+000 4.320799e-002 9.104006e-003 -3.170118e+000 -4.906673e-001 4.902915e-004
2.904575e+000 4.172611e-002 8.873864e-003 -3.230221e+000 -5.033914e-001 4.631107e-004
2.905013e+000 4.029961e-002 8.650805e-003 -3.291032e+000 -5.163857e-001 4.375389e-004
