Solution of SBHB orbit

v_0 = 1.400000e+000, A = 0.500000, B = 0.500000, delta = 1.000000e-008

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 2.799568e-003 -4.999211e-004 1.399568e+000 2.000000e-003
6.704113e-002 9.994413e-001 9.335255e-002 -1.660598e-002 1.384635e+000 6.504113e-002
1.341701e-001 9.977832e-001 1.857358e-001 -3.266721e-002 1.367492e+000 6.712894e-002
2.031059e-001 9.949890e-001 2.793492e-001 -4.821670e-002 1.348197e+000 6.893579e-002
2.741655e-001 9.910305e-001 3.743977e-001 -6.295935e-002 1.326736e+000 7.105961e-002
3.474995e-001 9.859027e-001 4.708371e-001 -7.661470e-002 1.303192e+000 7.333404e-002
4.233380e-001 9.796119e-001 5.687076e-001 -8.898707e-002 1.277655e+000 7.583846e-002
5.021406e-001 9.721542e-001 6.683115e-001 -9.997938e-002 1.250132e+000 7.880264e-002
5.845865e-001 9.635034e-001 7.701641e-001 -1.095594e-001 1.220520e+000 8.244594e-002
6.714935e-001 9.536137e-001 8.748540e-001 -1.177197e-001 1.188616e+000 8.690698e-002
7.637472e-001 9.424288e-001 9.829220e-001 -1.244532e-001 1.154133e+000 9.225363e-002
8.622579e-001 9.298934e-001 1.094778e+000 -1.297406e-001 1.116702e+000 9.851071e-002
9.679435e-001 9.159650e-001 1.210646e+000 -1.335461e-001 1.075871e+000 1.056856e-001
1.081735e+000 9.006229e-001 1.330532e+000 -1.358147e-001 1.031091e+000 1.137919e-001
1.204557e+000 8.838843e-001 1.454151e+000 -1.364682e-001 9.817065e-001 1.228211e-001
1.336883e+000 8.658775e-001 1.580462e+000 -1.354091e-001 9.271415e-001 1.323261e-001
1.473684e+000 8.475228e-001 1.703347e+000 -1.326759e-001 8.691245e-001 1.368014e-001
1.600467e+000 8.309315e-001 1.810049e+000 -1.288600e-001 8.138651e-001 1.267828e-001
1.718488e+000 8.159814e-001 1.903006e+000 -1.243428e-001 7.612171e-001 1.180207e-001
1.830893e+000 8.022822e-001 1.985709e+000 -1.192905e-001 7.101814e-001 1.124056e-001
1.941064e+000 7.894408e-001 2.061168e+000 -1.137386e-001 6.596158e-001 1.101708e-001
2.051246e+000 7.772371e-001 2.131053e+000 -1.077104e-001 6.089260e-001 1.101824e-001
2.163306e+000 7.655277e-001 2.196417e+000 -1.012283e-001 5.577997e-001 1.120599e-001
2.283761e+000 7.537659e-001 2.260354e+000 -9.403774e-002 5.040537e-001 1.204549e-001
2.426191e+000 7.409817e-001 2.327771e+000 -8.549310e-002 4.432043e-001 1.424294e-001
2.578616e+000 7.286330e-001 2.390639e+000 -7.660606e-002 3.825710e-001 1.524254e-001
2.731041e+000 7.176011e-001 2.444683e+000 -6.825052e-002 3.275196e-001 1.524254e-001
2.853041e+000 7.096569e-001 2.482176e+000 -6.206263e-002 2.877781e-001 1.219992e-001
2.964074e+000 7.030587e-001 2.512277e+000 -5.685788e-002 2.549538e-001 1.110330e-001
3.069589e+000 6.973032e-001 2.537660e+000 -5.229743e-002 2.266138e-001 1.055151e-001
