Solution of SBHB orbit

v_0 = 4.000000e-001, A = 5.500000, B = 3.000000, delta = 1.000000e-008

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 7.985654e-004 -4.991034e-004 3.985662e-001 2.000000e-003
5.339405e-002 9.996548e-001 2.036184e-002 -1.272685e-002 3.632128e-001 5.139405e-002
1.045843e-001 9.987148e-001 3.811243e-002 -2.382712e-002 3.307436e-001 5.119030e-002
1.557759e-001 9.972321e-001 5.426779e-002 -3.394419e-002 3.008433e-001 5.119153e-002
2.070993e-001 9.952490e-001 6.899064e-002 -4.319003e-002 2.732722e-001 5.132345e-002
2.588112e-001 9.927926e-001 8.245285e-002 -5.168350e-002 2.477542e-001 5.171184e-002
3.111123e-001 9.898815e-001 9.478261e-002 -5.951702e-002 2.240802e-001 5.230115e-002
3.641679e-001 9.865286e-001 1.060792e-001 -6.676553e-002 2.020850e-001 5.305561e-002
4.181192e-001 9.827423e-001 1.164220e-001 -7.349202e-002 1.816337e-001 5.395128e-002
4.730915e-001 9.785276e-001 1.258759e-001 -7.975109e-002 1.626131e-001 5.497228e-002
5.291999e-001 9.738866e-001 1.344959e-001 -8.559137e-002 1.449250e-001 5.610846e-002
5.865539e-001 9.688186e-001 1.423289e-001 -9.105729e-002 1.284830e-001 5.735401e-002
6.452606e-001 9.633201e-001 1.494160e-001 -9.619023e-002 1.132088e-001 5.870663e-002
7.054276e-001 9.573851e-001 1.557938e-001 -1.010295e-001 9.903054e-002 6.016700e-002
7.671661e-001 9.510043e-001 1.614950e-001 -1.056132e-001 8.588115e-002 6.173854e-002
8.305934e-001 9.441654e-001 1.665491e-001 -1.099786e-001 7.369737e-002 6.342732e-002
8.958357e-001 9.368521e-001 1.709828e-001 -1.141629e-001 6.241881e-002 6.524223e-002
9.630309e-001 9.290438e-001 1.748203e-001 -1.182036e-001 5.198738e-002 6.719528e-002
1.032333e+000 9.207144e-001 1.780829e-001 -1.221395e-001 4.234677e-002 6.930225e-002
1.103917e+000 9.118317e-001 1.807895e-001 -1.260109e-001 3.344199e-002 7.158351e-002
1.177982e+000 9.023552e-001 1.829561e-001 -1.298608e-001 2.521896e-002 7.406545e-002
1.254765e+000 8.922348e-001 1.845952e-001 -1.337364e-001 1.762410e-002 7.678240e-002
1.334544e+000 8.814074e-001 1.857157e-001 -1.376897e-001 1.060383e-002 7.977940e-002
1.417660e+000 8.697931e-001 1.863216e-001 -1.417811e-001 4.103964e-003 8.311576e-002
1.504528e+000 8.572904e-001 1.864108e-001 -1.460814e-001 -1.930931e-003 8.686855e-002
1.595659e+000 8.437693e-001 1.859735e-001 -1.506767e-001 -7.558112e-003 9.113118e-002
1.691647e+000 8.290680e-001 1.849898e-001 -1.556730e-001 -1.283625e-002 9.598715e-002
1.793030e+000 8.130079e-001 1.834312e-001 -1.611961e-001 -1.782071e-002 1.013833e-001
1.899707e+000 7.954866e-001 1.812740e-001 -1.673652e-001 -2.254478e-002 1.066771e-001
2.007730e+000 7.770493e-001 1.785995e-001 -1.740825e-001 -2.691135e-002 1.080227e-001
2.110348e+000 7.588352e-001 1.756377e-001 -1.810012e-001 -3.077573e-002 1.026182e-001
2.206973e+000 7.410083e-001 1.724954e-001 -1.880910e-001 -3.424367e-002 9.662476e-002
2.298107e+000 7.235394e-001 1.692292e-001 -1.953836e-001 -3.742710e-002 9.113407e-002
2.384333e+000 7.063721e-001 1.658732e-001 -2.029186e-001 -4.041350e-002 8.622633e-002
2.466119e+000 6.894614e-001 1.624515e-001 -2.107316e-001 -4.326797e-002 8.178642e-002
2.543820e+000 6.727766e-001 1.589824e-001 -2.188528e-001 -4.603938e-002 7.770066e-002
2.617706e+000 6.562990e-001 1.554807e-001 -2.273080e-001 -4.876525e-002 7.388555e-002
2.687990e+000 6.400179e-001 1.519589e-001 -2.361199e-001 -5.147496e-002 7.028393e-002
2.754847e+000 6.239291e-001 1.484274e-001 -2.453089e-001 -5.419207e-002 6.685753e-002
2.818428e+000 6.080321e-001 1.448955e-001 -2.548934e-001 -5.693577e-002 6.358084e-002
2.878865e+000 5.923297e-001 1.413713e-001 -2.648908e-001 -5.972195e-002 6.043695e-002
2.936279e+000 5.768265e-001 1.378618e-001 -2.753171e-001 -6.256398e-002 5.741462e-002
2.990786e+000 5.615283e-001 1.343734e-001 -2.861877e-001 -6.547325e-002 5.450640e-002
3.042493e+000 5.464420e-001 1.309117e-001 -2.975169e-001 -6.845956e-002 5.170736e-002
3.091507e+000 5.315748e-001 1.274820e-001 -3.093186e-001 -7.153143e-002 4.901419e-002
3.137932e+000 5.169341e-001 1.240888e-001 -3.216059e-001 -7.469635e-002 4.642461e-002
3.181869e+000 5.025273e-001 1.207362e-001 -3.343911e-001 -7.796094e-002 4.393697e-002
3.223419e+000 4.883615e-001 1.174279e-001 -3.476863e-001 -8.133110e-002 4.154995e-002
3.262681e+000 4.744436e-001 1.141673e-001 -3.615028e-001 -8.481210e-002 3.926238e-002
3.299754e+000 4.607798e-001 1.109574e-001 -3.758511e-001 -8.840871e-002 3.707309e-002
3.334735e+000 4.473759e-001 1.078008e-001 -3.907416e-001 -9.212524e-002 3.498078e-002
3.367719e+000 4.342370e-001 1.046998e-001 -4.061839e-001 -9.596559e-002 3.298404e-002
3.398800e+000 4.213676e-001 1.016563e-001 -4.221871e-001 -9.993336e-002 3.108124e-002
3.428071e+000 4.087712e-001 9.867217e-002 -4.387599e-001 -1.040318e-001 2.927053e-002
3.455621e+000 3.964509e-001 9.574871e-002 -4.559108e-001 -1.082640e-001 2.754989e-002
3.481538e+000 3.844089e-001 9.288709e-002 -4.736475e-001 -1.126327e-001 2.591703e-002
3.505907e+000 3.726465e-001 9.008821e-002 -4.919777e-001 -1.171406e-001 2.436952e-002
3.528812e+000 3.611644e-001 8.735271e-002 -5.109086e-001 -1.217901e-001 2.290473e-002
3.550332e+000 3.499628e-001 8.468102e-002 -5.304475e-001 -1.265835e-001 2.151988e-002
3.570544e+000 3.390408e-001 8.207336e-002 -5.506010e-001 -1.315231e-001 2.021209e-002
3.589522e+000 3.283973e-001 7.952973e-002 -5.713761e-001 -1.366109e-001 1.897837e-002
3.607338e+000 3.180301e-001 7.704997e-002 -5.927793e-001 -1.418490e-001 1.781566e-002
3.624059e+000 3.079369e-001 7.463376e-002 -6.148172e-001 -1.472394e-001 1.672085e-002
3.639750e+000 2.981147e-001 7.228061e-002 -6.374963e-001 -1.527841e-001 1.569085e-002
3.654472e+000 2.885601e-001 6.998992e-002 -6.608231e-001 -1.584849e-001 1.472253e-002
3.668285e+000 2.792691e-001 6.776094e-002 -6.848042e-001 -1.643437e-001 1.381282e-002
3.681244e+000 2.702377e-001 6.559286e-002 -7.094459e-001 -1.703624e-001 1.295867e-002
3.693401e+000 2.614614e-001 6.348474e-002 -7.347548e-001 -1.765428e-001 1.215710e-002
3.704806e+000 2.529354e-001 6.143560e-002 -7.607372e-001 -1.828866e-001 1.140520e-002
3.715506e+000 2.446549e-001 5.944438e-002 -7.873994e-001 -1.893957e-001 1.070014e-002
3.725546e+000 2.366148e-001 5.750999e-002 -8.147475e-001 -1.960717e-001 1.003920e-002
3.734965e+000 2.288100e-001 5.563128e-002 -8.427872e-001 -2.029162e-001 9.419737e-003
3.743804e+000 2.212353e-001 5.380711e-002 -8.715242e-001 -2.099308e-001 8.839230e-003
3.752100e+000 2.138854e-001 5.203631e-002 -9.009633e-001 -2.171169e-001 8.295266e-003
3.759885e+000 2.067553e-001 5.031770e-002 -9.311092e-001 -2.244758e-001 7.785550e-003
3.767193e+000 1.998397e-001 4.865013e-002 -9.619655e-001 -2.320085e-001 7.307902e-003
3.774053e+000 1.931336e-001 4.703243e-002 -9.935353e-001 -2.397159e-001 6.860265e-003
3.780494e+000 1.866321e-001 4.546347e-002 -1.025821e+000 -2.475989e-001 6.440697e-003
3.786542e+000 1.803301e-001 4.394212e-002 -1.058823e+000 -2.556577e-001 6.047377e-003
3.792220e+000 1.742231e-001 4.246729e-002 -1.092542e+000 -2.638926e-001 5.678599e-003
3.797553e+000 1.683063e-001 4.103790e-002 -1.126977e+000 -2.723036e-001 5.332771e-003
3.802561e+000 1.625751e-001 3.965288e-002 -1.162126e+000 -2.808902e-001 5.008406e-003
