Solution of SBHB orbit

v_0 = 2.236068e-004, A = 0.000000, B = 0.000000, delta = 1.000000e-007

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 4.472135e-007 -5.000002e-004 2.236067e-004 2.000000e-003
2.242520e-001 9.937006e-001 5.003867e-005 -5.629959e-002 2.221893e-004 2.222520e-001
5.019619e-001 9.681658e-001 1.110330e-004 -1.282205e-001 2.162544e-004 2.777099e-001
7.240836e-001 9.329578e-001 1.581741e-004 -1.895520e-001 2.075384e-004 2.221217e-001
9.120340e-001 8.921153e-001 1.962097e-004 -2.458978e-001 1.965657e-004 1.879504e-001
1.074307e+000 8.479424e-001 2.271001e-004 -2.994374e-001 1.835083e-004 1.622726e-001
1.215431e+000 8.020973e-001 2.519820e-004 -3.512347e-001 1.684359e-004 1.411241e-001
1.338526e+000 7.558036e-001 2.717091e-004 -4.019299e-001 1.513604e-004 1.230955e-001
1.446037e+000 7.099584e-001 2.869966e-004 -4.519588e-001 1.322559e-004 1.075111e-001
1.539999e+000 6.652079e-001 2.984670e-004 -5.016422e-001 1.110677e-004 9.396208e-002
1.622155e+000 6.220039e-001 3.066693e-004 -5.512292e-001 8.771924e-005 8.215552e-002
1.694014e+000 5.806485e-001 3.120871e-004 -6.009212e-001 6.211510e-005 7.185914e-002
1.756892e+000 5.413297e-001 3.151456e-004 -6.508854e-001 3.414391e-005 6.287807e-002
1.811937e+000 5.041484e-001 3.162169e-004 -7.012643e-001 3.679752e-006 5.504444e-002
1.860149e+000 4.691411e-001 3.156250e-004 -7.521818e-001 -2.941669e-005 4.821191e-002
1.902401e+000 4.362966e-001 3.136507e-004 -8.037472e-001 -6.529752e-005 4.225240e-002
1.939455e+000 4.055692e-001 3.105369e-004 -8.560580e-001 -1.041272e-004 3.705374e-002
1.971972e+000 3.768892e-001 3.064923e-004 -9.092030e-001 -1.460824e-004 3.251776e-002
2.000531e+000 3.501705e-001 3.016960e-004 -9.632632e-001 -1.913520e-004 2.855870e-002
2.025633e+000 3.253170e-001 2.963011e-004 -1.018314e+000 -2.401371e-004 2.510171e-002
2.047714e+000 3.022267e-001 2.904381e-004 -1.074424e+000 -2.926510e-004 2.208159e-002
2.067156e+000 2.807954e-001 2.842178e-004 -1.131661e+000 -3.491199e-004 1.944160e-002
2.084288e+000 2.609191e-001 2.777340e-004 -1.190085e+000 -4.097830e-004 1.713240e-002
2.099400e+000 2.424957e-001 2.710657e-004 -1.249756e+000 -4.748925e-004 1.511115e-002
2.112740e+000 2.254264e-001 2.642797e-004 -1.310732e+000 -5.447145e-004 1.334061e-002
2.124529e+000 2.096163e-001 2.574315e-004 -1.373066e+000 -6.195293e-004 1.178848e-002
2.134955e+000 1.949755e-001 2.505674e-004 -1.436810e+000 -6.996316e-004 1.042670e-002
2.144186e+000 1.814187e-001 2.437261e-004 -1.502016e+000 -7.853314e-004 9.230921e-003
2.152366e+000 1.688658e-001 2.369390e-004 -1.568735e+000 -8.769541e-004 8.180006e-003
2.159622e+000 1.572419e-001 2.302320e-004 -1.637013e+000 -9.748414e-004 7.255592e-003
2.166064e+000 1.464770e-001 2.236261e-004 -1.706898e+000 -1.079352e-003 6.441724e-003
2.171788e+000 1.365058e-001 2.171378e-004 -1.778438e+000 -1.190860e-003 5.724536e-003
2.176880e+000 1.272680e-001 2.107803e-004 -1.851678e+000 -1.309761e-003 5.091969e-003
2.181414e+000 1.187073e-001 2.045639e-004 -1.926664e+000 -1.436467e-003 4.533526e-003
