Solution of SBHB orbit

v_0 = 8.000000e-001, A = 0.500000, B = 0.500000, delta = 1.000000e-008

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 1.599209e-003 -4.997523e-004 7.992089e-001 2.000000e-003
7.924067e-002 9.992261e-001 6.212704e-002 -1.938390e-002 7.677551e-001 7.724067e-002
1.666411e-001 9.966386e-001 1.276014e-001 -3.960170e-002 7.301729e-001 8.740043e-002
2.550358e-001 9.922881e-001 1.903944e-001 -5.856628e-002 6.902798e-001 8.839467e-002
3.443305e-001 9.862661e-001 2.501740e-001 -7.601400e-002 6.484219e-001 8.929476e-002
4.345176e-001 9.786860e-001 3.067022e-001 -9.176081e-002 6.050037e-001 9.018704e-002
5.257880e-001 9.696589e-001 3.598892e-001 -1.057173e-001 5.604150e-001 9.127042e-002
6.181820e-001 9.593163e-001 4.095771e-001 -1.178292e-001 5.151825e-001 9.239406e-002
7.096616e-001 9.480625e-001 4.546732e-001 -1.279013e-001 4.708689e-001 9.147960e-002
7.990788e-001 9.362505e-001 4.948744e-001 -1.360285e-001 4.285098e-001 8.941711e-002
8.867800e-001 9.240264e-001 5.306807e-001 -1.425068e-001 3.882905e-001 8.770128e-002
9.735096e-001 9.114361e-001 5.626893e-001 -1.476295e-001 3.501210e-001 8.672962e-002
1.059892e+000 8.985032e-001 5.913560e-001 -1.516355e-001 3.139092e-001 8.638223e-002
1.146277e+000 8.852651e-001 6.169783e-001 -1.547157e-001 2.796334e-001 8.638496e-002
1.232687e+000 8.717912e-001 6.397321e-001 -1.570275e-001 2.473479e-001 8.641026e-002
1.319319e+000 8.581103e-001 6.598310e-001 -1.587162e-001 2.169903e-001 8.663227e-002
1.406311e+000 8.442483e-001 6.774536e-001 -1.599054e-001 1.884885e-001 8.699203e-002
1.493832e+000 8.302158e-001 6.927659e-001 -1.607021e-001 1.617384e-001 8.752057e-002
1.582102e+000 8.160068e-001 7.059203e-001 -1.611976e-001 1.366106e-001 8.827018e-002
1.671380e+000 8.016018e-001 7.170483e-001 -1.614700e-001 1.129660e-001 8.927788e-002
1.761941e+000 7.869728e-001 7.262566e-001 -1.615869e-001 9.066653e-002 9.056056e-002
1.854064e+000 7.720854e-001 7.336260e-001 -1.616076e-001 6.958138e-002 9.212336e-002
1.948034e+000 7.569000e-001 7.392138e-001 -1.615869e-001 4.958708e-002 9.396981e-002
2.044144e+000 7.413707e-001 7.430545e-001 -1.615761e-001 3.056548e-002 9.611003e-002
2.142712e+000 7.254426e-001 7.451615e-001 -1.616264e-001 1.240002e-002 9.856820e-002
2.244103e+000 7.090479e-001 7.455251e-001 -1.617907e-001 -5.029355e-003 1.013914e-001
2.348767e+000 6.920985e-001 7.441087e-001 -1.621262e-001 -2.185288e-002 1.046635e-001
2.457299e+000 6.744738e-001 7.408396e-001 -1.626993e-001 -3.822119e-002 1.085321e-001
