Solution of SBHB orbit

v_0 = 1.600000e+000, A = 0.500000, B = 0.500000, delta = 1.000000e-008

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 3.199651e-003 -4.999432e-004 1.599651e+000 2.000000e-003
6.203546e-002 9.995211e-001 9.890467e-002 -1.538554e-002 1.588375e+000 6.003546e-002
1.223743e-001 9.981528e-001 1.943653e-001 -2.985856e-002 1.575532e+000 6.033886e-002
1.837822e-001 9.958876e-001 2.906776e-001 -4.375222e-002 1.561054e+000 6.140792e-002
2.465586e-001 9.927242e-001 3.881771e-001 -5.682454e-002 1.545008e+000 6.277633e-002
3.110815e-001 9.886604e-001 4.873049e-001 -6.890401e-002 1.527478e+000 6.452293e-002
3.779018e-001 9.836802e-001 5.887414e-001 -7.990047e-002 1.508506e+000 6.682027e-002
4.477342e-001 9.777462e-001 6.933734e-001 -8.978143e-002 1.488075e+000 6.983239e-002
5.214019e-001 9.707996e-001 8.021895e-001 -9.854240e-002 1.466114e+000 7.366770e-002
5.997788e-001 9.627660e-001 9.161748e-001 -1.061871e-001 1.442505e+000 7.837690e-002
6.837365e-001 9.535655e-001 1.036218e+000 -1.127184e-001 1.417102e+000 8.395776e-002
7.740965e-001 9.431240e-001 1.163031e+000 -1.181378e-001 1.389733e+000 9.035997e-002
8.716023e-001 9.313831e-001 1.297099e+000 -1.224481e-001 1.360207e+000 9.750578e-002
9.769397e-001 9.183039e-001 1.438699e+000 -1.256571e-001 1.328288e+000 1.053374e-001
1.090814e+000 9.038622e-001 1.587987e+000 -1.277778e-001 1.293666e+000 1.138746e-001
1.214063e+000 8.880375e-001 1.745107e+000 -1.288207e-001 1.255906e+000 1.232489e-001
1.347767e+000 8.708042e-001 1.910259e+000 -1.287821e-001 1.214394e+000 1.337036e-001
1.493340e+000 8.521282e-001 2.083699e+000 -1.276293e-001 1.168273e+000 1.455734e-001
1.652562e+000 8.319797e-001 2.265605e+000 -1.252852e-001 1.116386e+000 1.592218e-001
1.827345e+000 8.103870e-001 2.455600e+000 -1.216187e-001 1.057273e+000 1.747826e-001
2.018364e+000 7.876288e-001 2.651150e+000 -1.164763e-001 9.895907e-001 1.910198e-001
2.193483e+000 7.677141e-001 2.818779e+000 -1.108233e-001 9.243354e-001 1.751182e-001
2.343489e+000 7.514953e-001 2.953078e+000 -1.053204e-001 8.658266e-001 1.500068e-001
2.477195e+000 7.377684e-001 3.065242e+000 -9.993792e-002 8.116467e-001 1.337055e-001
2.600311e+000 7.257885e-001 3.162016e+000 -9.461852e-002 7.601919e-001 1.231164e-001
2.717143e+000 7.150429e-001 3.247920e+000 -8.928921e-002 7.102055e-001 1.168315e-001
2.831596e+000 7.051328e-001 3.326365e+000 -8.385338e-002 6.604802e-001 1.144528e-001
2.946060e+000 6.958532e-001 3.399103e+000 -7.826887e-002 6.104590e-001 1.144638e-001
3.062751e+000 6.870560e-001 3.467374e+000 -7.250496e-002 5.597567e-001 1.166913e-001
3.189310e+000 6.782745e-001 3.534791e+000 -6.628228e-002 5.058948e-001 1.265592e-001
3.346823e+000 6.684311e-001 3.609376e+000 -5.876079e-002 4.418004e-001 1.575128e-001
3.522552e+000 6.588057e-001 3.681118e+000 -5.089885e-002 3.757920e-001 1.757290e-001
3.681799e+000 6.512251e-001 3.736600e+000 -4.441800e-002 3.220281e-001 1.592469e-001
3.803541e+000 6.460952e-001 3.773518e+000 -3.992488e-002 2.850620e-001 1.217425e-001
3.916009e+000 6.418212e-001 3.803808e+000 -3.613611e-002 2.540744e-001 1.124676e-001
4.023558e+000 6.381153e-001 3.829663e+000 -3.283076e-002 2.271728e-001 1.075491e-001
4.128809e+000 6.348173e-001 3.852296e+000 -2.988324e-002 2.032857e-001 1.052508e-001
4.233311e+000 6.318358e-001 3.872398e+000 -2.722106e-002 1.817937e-001 1.045023e-001
4.337819e+000 6.291193e-001 3.890364e+000 -2.480390e-002 1.623484e-001 1.045079e-001
4.442591e+000 6.266375e-001 3.906435e+000 -2.260772e-002 1.447387e-001 1.047716e-001
4.548353e+000 6.243543e-001 3.920881e+000 -2.060222e-002 1.287077e-001 1.057625e-001
4.655642e+000 6.222442e-001 3.933890e+000 -1.876573e-002 1.140711e-001 1.072893e-001
4.764882e+000 6.202878e-001 3.945607e+000 -1.708181e-002 1.006887e-001 1.092399e-001
4.876426e+000 6.184701e-001 3.956143e+000 -1.553737e-002 8.844900e-002 1.115439e-001
4.990583e+000 6.167787e-001 3.965589e+000 -1.412161e-002 7.725946e-002 1.141567e-001
5.107634e+000 6.152031e-001 3.974023e+000 -1.282523e-002 6.704095e-002 1.170508e-001
5.227845e+000 6.137340e-001 3.981511e+000 -1.164007e-002 5.772379e-002 1.202108e-001
5.351475e+000 6.123631e-001 3.988112e+000 -1.055876e-002 4.924518e-002 1.236307e-001
5.478787e+000 6.110828e-001 3.993881e+000 -9.574501e-003 4.154756e-002 1.273115e-001
5.610048e+000 6.098860e-001 3.998867e+000 -8.680970e-003 3.457738e-002 1.312609e-001
5.745540e+000 6.087658e-001 4.003116e+000 -7.872198e-003 2.828431e-002 1.354918e-001
5.885562e+000 6.077158e-001 4.006671e+000 -7.142516e-003 2.262076e-002 1.400224e-001
6.030438e+000 6.067296e-001 4.009571e+000 -6.486514e-003 1.754145e-002 1.448762e-001
6.180520e+000 6.058013e-001 4.011855e+000 -5.899012e-003 1.300318e-002 1.500817e-001
6.336193e+000 6.049248e-001 4.013557e+000 -5.375041e-003 8.964726e-003 1.556733e-001
6.497885e+000 6.040943e-001 4.014709e+000 -4.909837e-003 5.386654e-003 1.616916e-001
6.666069e+000 6.033041e-001 4.015342e+000 -4.498829e-003 2.231309e-003 1.681842e-001
6.841276e+000 6.025484e-001 4.015483e+000 -4.137640e-003 -5.372508e-004 1.752070e-001
7.024102e+000 6.018217e-001 4.015158e+000 -3.822082e-003 -2.953278e-003 1.828256e-001
7.215219e+000 6.011182e-001 4.014387e+000 -3.548157e-003 -5.049360e-003 1.911173e-001
7.415392e+000 6.004324e-001 4.013189e+000 -3.312056e-003 -6.856426e-003 2.001730e-001
7.625493e+000 5.997585e-001 4.011580e+000 -3.110161e-003 -8.403765e-003 2.101013e-001
7.846525e+000 5.990907e-001 4.009572e+000 -2.939044e-003 -9.719035e-003 2.210319e-001
8.079646e+000 5.984229e-001 4.007172e+000 -2.795468e-003 -1.082827e-002 2.331212e-001
8.326206e+000 5.977489e-001 4.004383e+000 -2.676389e-003 -1.175592e-002 2.465594e-001
8.587786e+000 5.970622e-001 4.001204e+000 -2.578957e-003 -1.252479e-002 2.615799e-001
8.866258e+000 5.963554e-001 3.997624e+000 -2.500514e-003 -1.315618e-002 2.784721e-001
9.163857e+000 5.956210e-001 3.993629e+000 -2.438601e-003 -1.366978e-002 2.975996e-001
9.483282e+000 5.948501e-001 3.989193e+000 -2.390954e-003 -1.408380e-002 3.194245e-001
9.827825e+000 5.940328e-001 3.984280e+000 -2.355510e-003 -1.441492e-002 3.445434e-001
1.020156e+001 5.931575e-001 3.978841e+000 -2.330410e-003 -1.467841e-002 3.737394e-001
1.060962e+001 5.922102e-001 3.972806e+000 -2.314000e-003 -1.488813e-002 4.080604e-001
1.105857e+001 5.911737e-001 3.966083e+000 -2.304843e-003 -1.505662e-002 4.489408e-001
1.155696e+001 5.900260e-001 3.958542e+000 -2.301725e-003 -1.519526e-002 4.983989e-001
1.211634e+001 5.887382e-001 3.950008e+000 -2.303674e-003 -1.531436e-002 5.593723e-001
1.275267e+001 5.872704e-001 3.940227e+000 -2.309990e-003 -1.542348e-002 6.363293e-001
1.348917e+001 5.855655e-001 3.928827e+000 -2.320298e-003 -1.553185e-002 7.364996e-001
1.436190e+001 5.835343e-001 3.915220e+000 -2.334662e-003 -1.564927e-002 8.727387e-001
1.543389e+001 5.810214e-001 3.898369e+000 -2.353884e-003 -1.578820e-002 1.071990e+000
1.684723e+001 5.776758e-001 3.875926e+000 -2.380591e-003 -1.597134e-002 1.413331e+000
1.869603e+001 5.732411e-001 3.846173e+000 -2.417035e-003 -1.621693e-002 1.848804e+000
2.042696e+001 5.690269e-001 3.817898e+000 -2.452511e-003 -1.645513e-002 1.730930e+000
2.212152e+001 5.648406e-001 3.789810e+000 -2.488536e-003 -1.669687e-002 1.694563e+000
2.378995e+001 5.606582e-001 3.761748e+000 -2.525322e-003 -1.694370e-002 1.668428e+000
2.543401e+001 5.564757e-001 3.733685e+000 -2.562925e-003 -1.719600e-002 1.644064e+000
2.705415e+001 5.522925e-001 3.705618e+000 -2.601373e-003 -1.745397e-002 1.620132e+000
2.865056e+001 5.481084e-001 3.677545e+000 -2.640693e-003 -1.771778e-002 1.596413e+000
3.022343e+001 5.439235e-001 3.649466e+000 -2.680912e-003 -1.798763e-002 1.572869e+000
3.177292e+001 5.397378e-001 3.621382e+000 -2.722056e-003 -1.826369e-002 1.549495e+000
3.329921e+001 5.355512e-001 3.593292e+000 -2.764155e-003 -1.854615e-002 1.526290e+000
3.480247e+001 5.313638e-001 3.565196e+000 -2.807237e-003 -1.883521e-002 1.503255e+000
3.628286e+001 5.271756e-001 3.537095e+000 -2.851333e-003 -1.913107e-002 1.480390e+000
3.774055e+001 5.229865e-001 3.508989e+000 -2.896475e-003 -1.943395e-002 1.457695e+000
3.917573e+001 5.187967e-001 3.480877e+000 -2.942695e-003 -1.974407e-002 1.435172e+000
4.058855e+001 5.146059e-001 3.452759e+000 -2.990029e-003 -2.006166e-002 1.412820e+000
4.197919e+001 5.104144e-001 3.424636e+000 -3.038512e-003 -2.038696e-002 1.390641e+000
4.334782e+001 5.062220e-001 3.396507e+000 -3.088181e-003 -2.072021e-002 1.368634e+000
4.469462e+001 5.020288e-001 3.368373e+000 -3.139074e-003 -2.106168e-002 1.346799e+000
4.601976e+001 4.978348e-001 3.340233e+000 -3.191232e-003 -2.141164e-002 1.325138e+000
4.732341e+001 4.936399e-001 3.312087e+000 -3.244697e-003 -2.177036e-002 1.303651e+000
4.860575e+001 4.894443e-001 3.283936e+000 -3.299511e-003 -2.213814e-002 1.282337e+000
4.986694e+001 4.852477e-001 3.255779e+000 -3.355721e-003 -2.251528e-002 1.261198e+000
5.110718e+001 4.810503e-001 3.227617e+000 -3.413373e-003 -2.290210e-002 1.240234e+000
