Solution of SBHB orbit

v_0 = 1.600000e+000, A = 1.000000, B = 1.000000, delta = 1.000000e-008

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 3.199371e-003 -4.998994e-004 1.599371e+000 2.000000e-003
6.205309e-002 9.995217e-001 9.866109e-002 -1.534718e-002 1.579582e+000 6.005309e-002
1.226312e-001 9.981519e-001 1.937007e-001 -2.975226e-002 1.557891e+000 6.057810e-002
1.848640e-001 9.958634e-001 2.899155e-001 -4.361513e-002 1.533939e+000 6.223277e-002
2.488994e-001 9.926465e-001 3.873109e-001 -5.662832e-002 1.507744e+000 6.403540e-002
3.148601e-001 9.885097e-001 4.858345e-001 -6.854403e-002 1.479387e+000 6.596071e-002
3.830909e-001 9.834590e-001 5.857391e-001 -7.922508e-002 1.448864e+000 6.823085e-002
4.542189e-001 9.774795e-001 6.876315e-001 -8.862378e-002 1.416026e+000 7.112797e-002
5.290727e-001 9.705313e-001 7.923048e-001 -9.673197e-002 1.380575e+000 7.485384e-002
6.086011e-001 9.625559e-001 9.005747e-001 -1.035454e-001 1.342096e+000 7.952838e-002
6.938305e-001 9.534840e-001 1.013175e+000 -1.090461e-001 1.300060e+000 8.522939e-002
7.858508e-001 9.432456e-001 1.130686e+000 -1.131958e-001 1.253824e+000 9.202029e-002
8.857950e-001 9.317815e-001 1.253449e+000 -1.159316e-001 1.202627e+000 9.994422e-002
9.946371e-001 9.190811e-001 1.381258e+000 -1.171652e-001 1.145689e+000 1.088421e-001
1.111970e+000 9.053392e-001 1.512015e+000 -1.168081e-001 1.082891e+000 1.173326e-001
1.228552e+000 8.918133e-001 1.634553e+000 -1.150157e-001 1.019048e+000 1.165825e-001
1.339024e+000 8.792530e-001 1.743730e+000 -1.122129e-001 9.573229e-001 1.104721e-001
1.445224e+000 8.675175e-001 1.842205e+000 -1.086688e-001 8.970633e-001 1.061997e-001
1.549783e+000 8.563677e-001 1.932873e+000 -1.045029e-001 8.371691e-001 1.045594e-001
1.654350e+000 8.456822e-001 2.017273e+000 -9.979596e-002 7.771472e-001 1.045664e-001
1.760648e+000 8.353475e-001 2.096656e+000 -9.459257e-002 7.165718e-001 1.062979e-001
1.873876e+000 8.249659e-001 2.174194e+000 -8.874294e-002 6.532776e-001 1.132288e-001
2.004004e+000 8.138661e-001 2.254605e+000 -8.184173e-002 5.831594e-001 1.301276e-001
2.149281e+000 8.025349e-001 2.333908e+000 -7.418403e-002 5.095255e-001 1.452766e-001
2.294557e+000 7.922969e-001 2.402942e+000 -6.682881e-002 4.419251e-001 1.452766e-001
2.418716e+000 7.843703e-001 2.454500e+000 -6.092161e-002 3.894232e-001 1.241593e-001
2.528185e+000 7.779704e-001 2.494787e+000 -5.606109e-002 3.472553e-001 1.094688e-001
2.630736e+000 7.724412e-001 2.528521e+000 -5.182425e-002 3.111876e-001 1.025512e-001
2.729707e+000 7.675023e-001 2.557723e+000 -4.803006e-002 2.793988e-001 9.897022e-002
2.826983e+000 7.630002e-001 2.583493e+000 -4.457858e-002 2.508829e-001 9.727612e-002
2.923746e+000 7.588420e-001 2.606499e+000 -4.140911e-002 2.250249e-001 9.676339e-002
3.020513e+000 7.549782e-001 2.627117e+000 -3.849010e-002 2.014847e-001 9.676681e-002
3.117570e+000 7.513749e-001 2.645614e+000 -3.579956e-002 1.800196e-001 9.705729e-002
3.215508e+000 7.479925e-001 2.662266e+000 -3.330981e-002 1.603567e-001 9.793724e-002
3.314768e+000 7.448024e-001 2.677272e+000 -3.100087e-002 1.422967e-001 9.926081e-002
3.415707e+000 7.417831e-001 2.690783e+000 -2.885748e-002 1.256859e-001 1.009390e-001
3.518622e+000 7.389172e-001 2.702918e+000 -2.686751e-002 1.104008e-001 1.029142e-001
3.623770e+000 7.361908e-001 2.713774e+000 -2.502092e-002 9.633907e-002 1.051487e-001
3.731388e+000 7.335918e-001 2.723434e+000 -2.330911e-002 8.341262e-002 1.076181e-001
3.841696e+000 7.311095e-001 2.731968e+000 -2.172449e-002 7.154410e-002 1.103079e-001
3.954907e+000 7.287344e-001 2.739440e+000 -2.026021e-002 6.066383e-002 1.132106e-001
4.071232e+000 7.264576e-001 2.745906e+000 -1.890993e-002 5.070799e-002 1.163249e-001
4.190886e+000 7.242707e-001 2.751419e+000 -1.766767e-002 4.161722e-002 1.196542e-001
4.314092e+000 7.221655e-001 2.756026e+000 -1.652778e-002 3.333577e-002 1.232062e-001
4.441085e+000 7.201342e-001 2.759771e+000 -1.548480e-002 2.581083e-002 1.269926e-001
4.572114e+000 7.181688e-001 2.762696e+000 -1.453348e-002 1.899209e-002 1.310289e-001
4.707448e+000 7.162618e-001 2.764840e+000 -1.366873e-002 1.283144e-002 1.353342e-001
4.847380e+000 7.144051e-001 2.766239e+000 -1.288558e-002 7.282802e-003 1.399318e-001
4.992229e+000 7.125910e-001 2.766924e+000 -1.217922e-002 2.301931e-003 1.448492e-001
5.142347e+000 7.108114e-001 2.766927e+000 -1.154496e-002 -2.153624e-003 1.501183e-001
5.298124e+000 7.090583e-001 2.766274e+000 -1.097825e-002 -6.124602e-003 1.557765e-001
5.459991e+000 7.073231e-001 2.764990e+000 -1.047467e-002 -9.650061e-003 1.618674e-001
5.628432e+000 7.055972e-001 2.763095e+000 -1.002995e-002 -1.276741e-002 1.684412e-001
5.803989e+000 7.038716e-001 2.760605e+000 -9.639962e-003 -1.551243e-002 1.755568e-001
5.987272e+000 7.021369e-001 2.757535e+000 -9.300716e-003 -1.791929e-002 1.832832e-001
6.178974e+000 7.003828e-001 2.753892e+000 -9.008393e-003 -2.002057e-002 1.917017e-001
6.379882e+000 6.985989e-001 2.749681e+000 -8.759335e-003 -2.184726e-002 2.009084e-001
6.590900e+000 6.967735e-001 2.744898e+000 -8.550057e-003 -2.342882e-002 2.110180e-001
6.813069e+000 6.948939e-001 2.739536e+000 -8.377254e-003 -2.479319e-002 2.221688e-001
7.047598e+000 6.929463e-001 2.733579e+000 -8.237818e-003 -2.596679e-002 2.345285e-001
