Solution of SBHB orbit

v_0 = 8.000000e-001, A = 1.000000, B = 1.000000, delta = 1.000000e-008

       t           rx             ry            vx             vy             2h
2.000000e-003 9.999995e-001 1.598942e-003 -4.996687e-004 7.989414e-001 2.000000e-003
7.839988e-002 9.992457e-001 6.107838e-002 -1.905638e-002 7.579414e-001 7.639988e-002
1.637105e-001 9.967834e-001 1.237488e-001 -3.841145e-002 7.111466e-001 8.531058e-002
2.529999e-001 9.925129e-001 1.850351e-001 -5.693765e-002 6.615550e-001 8.928946e-002
3.455005e-001 9.864345e-001 2.438500e-001 -7.414248e-002 6.101623e-001 9.250056e-002
4.346338e-001 9.791596e-001 2.960490e-001 -8.878072e-002 5.612420e-001 8.913328e-002
5.207641e-001 9.709675e-001 3.423904e-001 -1.011630e-001 5.150504e-001 8.613034e-002
6.050597e-001 9.619853e-001 3.839507e-001 -1.116968e-001 4.712761e-001 8.429560e-002
6.884397e-001 9.522875e-001 4.214988e-001 -1.206937e-001 4.296739e-001 8.338003e-002
7.714714e-001 9.419387e-001 4.555202e-001 -1.283820e-001 3.901329e-001 8.303168e-002
8.544598e-001 9.310050e-001 4.863261e-001 -1.349397e-001 3.526251e-001 8.298843e-002
9.374486e-001 9.195690e-001 5.141053e-001 -1.405104e-001 3.171916e-001 8.298875e-002
1.020567e+000 9.076883e-001 5.390671e-001 -1.452343e-001 2.837888e-001 8.311810e-002
1.103961e+000 8.954049e-001 5.614078e-001 -1.492385e-001 2.523359e-001 8.339421e-002
1.187803e+000 8.827460e-001 5.813090e-001 -1.526368e-001 2.227251e-001 8.384164e-002
1.272294e+000 8.697238e-001 5.989356e-001 -1.555307e-001 1.948304e-001 8.449185e-002
1.357658e+000 8.563384e-001 6.144312e-001 -1.580098e-001 1.685195e-001 8.536408e-002
1.444123e+000 8.425811e-001 6.279150e-001 -1.601534e-001 1.436631e-001 8.646469e-002
1.531916e+000 8.284363e-001 6.394829e-001 -1.620322e-001 1.201384e-001 8.779300e-002
1.621264e+000 8.138827e-001 6.492086e-001 -1.637112e-001 9.783009e-002 8.934741e-002
1.712394e+000 7.988924e-001 6.571465e-001 -1.652507e-001 7.662825e-002 9.113033e-002
1.805546e+000 7.834303e-001 6.633327e-001 -1.667094e-001 5.642614e-002 9.315232e-002
1.900983e+000 7.674514e-001 6.677858e-001 -1.681455e-001 3.711668e-002 9.543659e-002
1.999008e+000 7.508968e-001 6.705059e-001 -1.696195e-001 1.858818e-002 9.802535e-002
2.099999e+000 7.336880e-001 6.714710e-001 -1.711965e-001 7.187688e-004 1.009906e-001
2.204453e+000 7.157155e-001 6.706307e-001 -1.729509e-001 -1.663213e-002 1.044544e-001
2.313084e+000 6.968199e-001 6.678914e-001 -1.749728e-001 -3.363820e-002 1.086311e-001
2.427009e+000 6.767522e-001 6.630886e-001 -1.773809e-001 -5.053442e-002 1.139244e-001
2.548203e+000 6.550794e-001 6.559176e-001 -1.803513e-001 -6.768261e-002 1.211941e-001
2.680905e+000 6.308986e-001 6.457297e-001 -1.842015e-001 -8.576850e-002 1.327019e-001
2.838605e+000 6.014257e-001 6.305445e-001 -1.897842e-001 -1.067671e-001 1.577004e-001
2.967046e+000 5.767042e-001 6.157355e-001 -1.953285e-001 -1.238589e-001 1.284415e-001
3.077714e+000 5.547830e-001 6.012014e-001 -2.009830e-001 -1.388705e-001 1.106677e-001
3.176993e+000 5.345439e-001 5.867281e-001 -2.068820e-001 -1.527893e-001 9.927856e-002
3.267786e+000 5.154850e-001 5.722569e-001 -2.130869e-001 -1.660900e-001 9.079348e-002
3.351642e+000 4.973482e-001 5.577915e-001 -2.196275e-001 -1.790422e-001 8.385559e-002
3.429520e+000 4.799811e-001 5.433557e-001 -2.265203e-001 -1.918212e-001 7.787821e-002
3.502084e+000 4.632860e-001 5.289799e-001 -2.337757e-001 -2.045509e-001 7.256366e-002
3.569828e+000 4.471959e-001 5.146955e-001 -2.414001e-001 -2.173239e-001 6.774411e-002
3.633145e+000 4.316626e-001 5.005324e-001 -2.493982e-001 -2.302126e-001 6.331766e-002
3.692364e+000 4.166502e-001 4.865180e-001 -2.577732e-001 -2.432746e-001 5.921878e-002
3.747767e+000 4.021306e-001 4.726770e-001 -2.665276e-001 -2.565575e-001 5.540322e-002
3.799607e+000 3.880814e-001 4.590312e-001 -2.756634e-001 -2.701009e-001 5.183967e-002
3.848112e+000 3.744836e-001 4.455994e-001 -2.851823e-001 -2.839386e-001 4.850496e-002
3.893493e+000 3.613210e-001 4.323974e-001 -2.950858e-001 -2.980997e-001 4.538110e-002
3.935947e+000 3.485789e-001 4.194388e-001 -3.053755e-001 -3.126098e-001 4.245346e-002
3.975656e+000 3.362442e-001 4.067342e-001 -3.160528e-001 -3.274914e-001 3.970964e-002
4.012795e+000 3.243044e-001 3.942924e-001 -3.271195e-001 -3.427650e-001 3.713871e-002
4.047526e+000 3.127477e-001 3.821198e-001 -3.385774e-001 -3.584491e-001 3.473073e-002
4.080002e+000 3.015627e-001 3.702212e-001 -3.504282e-001 -3.745606e-001 3.247645e-002
4.110369e+000 2.907384e-001 3.585994e-001 -3.626741e-001 -3.911154e-001 3.036715e-002
4.138764e+000 2.802639e-001 3.472562e-001 -3.753171e-001 -4.081283e-001 2.839447e-002
4.165314e+000 2.701288e-001 3.361917e-001 -3.883594e-001 -4.256131e-001 2.655039e-002
4.190141e+000 2.603227e-001 3.254054e-001 -4.018031e-001 -4.435828e-001 2.482717e-002
4.213359e+000 2.508357e-001 3.148956e-001 -4.156503e-001 -4.620497e-001 2.321735e-002
4.235072e+000 2.416581e-001 3.046600e-001 -4.299028e-001 -4.810250e-001 2.171376e-002
4.255382e+000 2.327805e-001 2.946957e-001 -4.445619e-001 -5.005193e-001 2.030953e-002
4.274380e+000 2.241938e-001 2.849996e-001 -4.596287e-001 -5.205421e-001 1.899807e-002
4.292153e+000 2.158893e-001 2.755680e-001 -4.751034e-001 -5.411016e-001 1.777315e-002
4.308782e+000 2.078589e-001 2.663974e-001 -4.909857e-001 -5.622050e-001 1.662886e-002
4.324342e+000 2.000945e-001 2.574838e-001 -5.072741e-001 -5.838581e-001 1.555965e-002
4.338902e+000 1.925888e-001 2.488234e-001 -5.239663e-001 -6.060652e-001 1.456031e-002
4.352528e+000 1.853345e-001 2.404124e-001 -5.410590e-001 -6.288291e-001 1.362602e-002
4.365280e+000 1.783249e-001 2.322469e-001 -5.585476e-001 -6.521510e-001 1.275231e-002
4.377215e+000 1.715534e-001 2.243231e-001 -5.764265e-001 -6.760308e-001 1.193505e-002
4.388386e+000 1.650140e-001 2.166371e-001 -5.946893e-001 -7.004667e-001 1.117045e-002
4.398841e+000 1.587005e-001 2.091850e-001 -6.133282e-001 -7.254558e-001 1.045501e-002
4.408626e+000 1.526070e-001 2.019629e-001 -6.323351e-001 -7.509941e-001 9.785522e-003
4.417785e+000 1.467280e-001 1.949668e-001 -6.517011e-001 -7.770765e-001 9.159039e-003
4.426358e+000 1.410578e-001 1.881926e-001 -6.714168e-001 -8.036974e-001 8.572826e-003
4.434383e+000 1.355907e-001 1.816360e-001 -6.914727e-001 -8.308508e-001 8.024349e-003
4.441894e+000 1.303214e-001 1.752928e-001 -7.118591e-001 -8.585304e-001 7.511250e-003
4.448925e+000 1.252443e-001 1.691585e-001 -7.325665e-001 -8.867300e-001 7.031322e-003
4.455508e+000 1.203539e-001 1.632284e-001 -7.535857e-001 -9.154436e-001 6.582494e-003
4.461670e+000 1.156449e-001 1.574979e-001 -7.749076e-001 -9.446656e-001 6.162819e-003
4.467441e+000 1.111117e-001 1.519621e-001 -7.965238e-001 -9.743910e-001 5.770460e-003
4.472845e+000 1.067492e-001 1.466163e-001 -8.184264e-001 -1.004615e+000 5.403688e-003
