Iteration result of potential using 2D relaxation method

Parameters : 
x \in [0.00000000e+000, 1.00000000e+002], y \in [0.00000000e+000, 1.00000000e+002]
Boundary value : all 0 
n_x = 100, n_y = 100, max_dif_tar = 1.00000001e-010

iterations = 12056

       x             y           f(x)       
1.00000000e+000 4.30000000e+001 -1.78565074e-006
1.00000000e+000 4.40000000e+001 -1.80175039e-006
1.00000000e+000 4.50000000e+001 -1.81547989e-006
1.00000000e+000 4.60000000e+001 -1.82678184e-006
1.00000000e+000 4.70000000e+001 -1.83560792e-006
1.00000000e+000 4.80000000e+001 -1.84191970e-006
1.00000000e+000 4.90000000e+001 -1.84568955e-006
1.00000000e+000 5.00000000e+001 -1.84690100e-006
1.00000000e+000 5.10000000e+001 -1.84554892e-006
1.00000000e+000 5.20000000e+001 -1.84164026e-006
1.00000000e+000 5.30000000e+001 -1.83519273e-006
1.00000000e+000 5.40000000e+001 -1.82623637e-006
1.00000000e+000 5.50000000e+001 -1.81481062e-006
1.00000000e+000 5.60000000e+001 -1.80096617e-006
1.00000000e+000 5.70000000e+001 -1.78476125e-006
1.00000000e+000 5.80000000e+001 -1.76626395e-006
1.00000000e+000 5.90000000e+001 -1.74554793e-006
1.00000000e+000 6.00000000e+001 -1.72269461e-006
1.00000000e+000 6.10000000e+001 -1.69778889e-006
1.00000000e+000 6.20000000e+001 -1.67092219e-006
1.00000000e+000 6.30000000e+001 -1.64218704e-006
1.00000000e+000 6.40000000e+001 -1.61168055e-006
1.00000000e+000 6.50000000e+001 -1.57949933e-006
1.00000000e+000 6.60000000e+001 -1.54574252e-006
1.00000000e+000 6.70000000e+001 -1.51050835e-006
1.00000000e+000 6.80000000e+001 -1.47389494e-006
1.00000000e+000 6.90000000e+001 -1.43599937e-006
1.00000000e+000 7.00000000e+001 -1.39691690e-006
1.00000000e+000 7.10000000e+001 -1.35674077e-006
1.00000000e+000 7.20000000e+001 -1.31556158e-006
1.00000000e+000 7.30000000e+001 -1.27346675e-006
1.00000000e+000 7.40000000e+001 -1.23054076e-006
1.00000000e+000 7.50000000e+001 -1.18686398e-006
1.00000000e+000 7.60000000e+001 -1.14251282e-006
1.00000000e+000 7.70000000e+001 -1.09755968e-006
1.00000000e+000 7.80000000e+001 -1.05207255e-006
1.00000000e+000 7.90000000e+001 -1.00611487e-006
1.00000000e+000 8.00000000e+001 -9.59745648e-007
1.00000000e+000 8.10000000e+001 -9.13019107e-007
1.00000000e+000 8.20000000e+001 -8.65985271e-007
1.00000000e+000 8.30000000e+001 -8.18689273e-007
1.00000000e+000 8.40000000e+001 -7.71172097e-007
1.00000000e+000 8.50000000e+001 -7.23470407e-007
1.00000000e+000 8.60000000e+001 -6.75616775e-007
1.00000000e+000 8.70000000e+001 -6.27639736e-007
1.00000000e+000 8.80000000e+001 -5.79564187e-007
1.00000000e+000 8.90000000e+001 -5.31411445e-007
1.00000000e+000 9.00000000e+001 -4.83199642e-007
1.00000000e+000 9.10000000e+001 -4.34943900e-007
1.00000000e+000 9.20000000e+001 -3.86656495e-007
1.00000000e+000 9.30000000e+001 -3.38347263e-007
1.00000000e+000 9.40000000e+001 -2.90023848e-007
1.00000000e+000 9.50000000e+001 -2.41691851e-007
1.00000000e+000 9.60000000e+001 -1.93355305e-007
1.00000000e+000 9.70000000e+001 -1.45016742e-007
1.00000000e+000 9.80000000e+001 -9.66776810e-008
1.00000000e+000 9.90000000e+001 -4.83387410e-008
1.00000000e+000 1.00000000e+002 0.00000000e+000
2.00000000e+000 0.00000000e+000 0.00000000e+000
2.00000000e+000 1.00000000e+000 -9.67336291e-008
