Discrete Fourier Transform of sunspots

  k         Re(c_k)          Im(c_k)     
  213      -337.180725      -654.571777
  214      -685.275452     -1181.383057
  215       -22.673956      1326.479858
  216       183.239883      1090.711670
  217       320.732788     -1160.847046
  218      -167.578918      1123.130493
  219      -756.189819      -147.211960
  220        23.642017      -761.803345
  221     -1226.860840       655.194580
  222     -1248.924438     -1045.019897
  223      1059.298462       710.181702
  224      -455.993073      -230.190613
  225      1239.660645     -1299.303711
  226       149.631989      -369.879639
  227       741.907959       604.518738
  228      2081.838135     -2013.350952
  229       395.393127       350.121704
  230       208.565186       443.310394
  231       746.501343      2143.231201
  232     -1013.127991      1004.880127
  233      -223.371872       237.242859
  234      -169.380585       764.336365
  235      -300.586334       539.753784
  236      -106.677162      -789.448242
  237      -832.728943      -761.667480
  238       859.529358       329.532501
  239       798.533325     -1203.874756
  240     -1457.165161     -2020.878784
  241      -301.429535       -90.512512
  242      -928.809998      1458.785034
  243      -536.763611      1310.332153
  244       813.890991      1641.899536
  245     -2166.077637      1557.565063
  246       760.872742       571.604248
  247       -50.234108      -437.398224
  248      -321.088867     -1497.711426
  249       628.049988       370.580933
  250      1095.936401       944.878723
  251       386.235077       970.373352
  252      1534.424683      1464.079834
  253      -285.390015      -750.847778
  254      -818.465088       208.437317
  255      -622.480591       860.322021
  256      -195.290573       100.516777
  257      1125.036499      -699.757019
  258     -1796.068115        12.216009
  259      -354.548553       -52.830959
  260      -485.300415       274.230835
  261      1466.016968     -1494.594482
  262      -517.131226     -1458.246216
  263      -656.348083       137.860382
  264       305.479584      -464.182831
  265       996.513062      -313.847076
  266     -1019.928223      -397.491547
  267       -50.800869      -791.106812
  268      -856.335327      1939.875732
  269     -1515.434937       358.607056
  270      -548.577148      -606.388306
  271     -1676.877319       807.320251
  272       809.382874      -312.954041
  273     -1055.067261      -914.128723
  274      -646.715576       299.246857
  275       258.027618      1288.552490
  276       758.172241        77.086960
  277      1976.141479       268.759827
  278      -411.929230       290.185791
  279      -838.156555        26.533859
  280       517.603577       162.311707
  281       350.651794       693.599365
  282       -61.386303     -1101.854736
  283       -30.598364      -807.057312
  284     -1384.229004      -334.596344
  285      -645.161316      1114.637329
  286      1143.050659      -230.264587
  287       378.792664      -314.583862
  288      -341.728210     -1597.026855
  289       205.539108        61.110016
  290       958.503784      -729.053589
  291       873.223022       130.154480
