Derivatives of exp(x) at 10.000000 using extrapolated difference method

 i  h              derivative      e               epsilon 
 1  5.000000e-001  2.197919e+004
 2  2.500000e-001  2.202358e+004  4.438281e+001  2.019310e-003
 3  1.250000e-001  2.202629e+004  2.710938e+000  1.230925e-004
 4  6.250000e-002  2.202647e+004  1.796875e-001  8.157866e-006
 5  3.125000e-002  2.202645e+004  -1.953125e-002  -8.867173e-007
 6  1.562500e-002  2.202651e+004  6.250000e-002  2.837498e-006
 7  7.812500e-003  2.202642e+004  -9.375000e-002  -4.256235e-006
 8  3.906250e-003  2.202683e+004  4.179688e-001  1.897580e-005
 9  1.953125e-003  2.202592e+004  -9.179688e-001  -4.167502e-005
10  9.765625e-004  2.202567e+004  -2.500000e-001  -1.135027e-005
11  4.882813e-004  2.202633e+004  6.679688e-001  3.032684e-005
12  2.441406e-004  2.202467e+004  -1.667969e+000  -7.572612e-005
13  1.220703e-004  2.202400e+004  -6.660156e-001  -3.023953e-005
14  6.103516e-005  2.203200e+004  8.000000e+000  3.632401e-004
15  3.051758e-005  2.204800e+004  1.600000e+001  7.262164e-004
16  1.525879e-005  2.208000e+004  3.200000e+001  1.451379e-003
17  7.629395e-006  2.222933e+004  1.493340e+002  6.763314e-003
18  3.814697e-006  2.218667e+004  -4.266797e+001  -1.919444e-003
19  1.907349e-006  2.210133e+004  -8.533203e+001  -3.846095e-003
20  9.536743e-007  2.065067e+004  -1.450668e+003  -6.563712e-002
