Derivatives of cos(x) at 0.100000 using forward difference method

 i  h              derivative      e               epsilon 
 1  5.000000e-001  -3.393371e-001
 2  2.500000e-001  -2.225258e-001  1.168113e-001  -3.442337e-001
 3  1.250000e-001  -1.616807e-001  6.084512e-002  -2.734295e-001
 4  6.249999e-002  -1.308527e-001  3.082800e-002  -1.906721e-001
 5  3.124999e-002  -1.153641e-001  1.548861e-002  -1.183667e-001
 6  1.562499e-002  -1.076050e-001  7.759072e-003  -6.725725e-002
 7  7.812493e-003  -1.037217e-001  3.883317e-003  -3.608862e-002
 8  3.906243e-003  -1.017763e-001  1.945399e-003  -1.875594e-002
 9  1.953118e-003  -1.007999e-001  9.763688e-004  -9.593281e-003
10  9.765550e-004  -1.003426e-001  4.573837e-004  -4.537539e-003
11  4.882738e-004  -1.000992e-001  2.433807e-004  -2.425498e-003
12  2.441332e-004  -1.001007e-001  -1.527369e-006  1.525856e-005
13  1.220629e-004  -1.001038e-001  -3.054738e-006  3.051665e-005
14  6.102771e-005  -9.962153e-002  4.822314e-004  -4.817315e-003
15  3.051013e-005  -9.963370e-002  -1.216680e-005  1.221302e-004
16  1.525134e-005  -1.016121e-001  -1.978412e-003  1.985686e-002
17  7.621944e-006  -1.016618e-001  -4.966557e-005  4.887761e-004
18  3.807247e-006  -1.095890e-001  -7.927261e-003  7.797681e-002
19  1.899898e-006  -9.411765e-002  1.547139e-002  -1.411764e-001
20  9.462237e-007  -1.259843e-001  -3.186660e-002  3.385826e-001
