Derivatives of cos(x) at 0.100000 using central difference method

 i  h              derivative      e               epsilon 
 1  5.000000e-001  -9.572536e-002
 2  2.500000e-001  -9.879673e-002  -3.071368e-003  3.208521e-002
 3  1.250000e-001  -9.957362e-002  -7.768944e-004  7.863564e-003
 4  6.249999e-002  -9.976865e-002  -1.950338e-004  1.958690e-003
 5  3.124999e-002  -9.981730e-002  -4.864484e-005  4.875764e-004
 6  1.562499e-002  -9.983067e-002  -1.337379e-005  1.339827e-004
 7  7.812493e-003  -9.983454e-002  -3.866851e-006  3.873410e-005
 8  3.906243e-003  -9.983082e-002  3.717840e-006  -3.724001e-005
 9  1.953118e-003  -9.982338e-002  7.443130e-006  -7.455744e-005
10  9.765550e-004  -9.982376e-002  -3.799796e-007  3.806519e-006
11  4.882738e-004  -9.985504e-002  -3.128499e-005  3.134022e-004
12  2.441332e-004  -9.985656e-002  -1.519918e-006  1.522125e-005
13  1.220629e-004  -9.985961e-002  -3.047287e-006  3.051665e-005
14  6.102771e-005  -9.962153e-002  2.380759e-004  -2.384105e-003
15  3.051013e-005  -9.963370e-002  -1.216680e-005  1.221302e-004
16  1.525134e-005  -9.965803e-002  -2.433360e-005  2.442306e-004
17  7.621944e-006  -1.016618e-001  -2.003744e-003  2.010620e-002
18  3.807247e-006  -1.017613e-001  -9.947270e-005  9.784671e-004
19  1.899898e-006  -9.411765e-002  7.643603e-003  -7.511310e-002
20  9.462237e-007  -9.448819e-002  -3.705397e-004  3.936985e-003
