Correlation function xi(r) calculated from lcdm_z0.matter_pk within r = [0.000000, 120.000000]

r : scale; xi_1 : integral between 0 and k_min; xi_2 : integral within data range; xi_3 : integral from k_max to +INF

    r        xi_1         xi_2         xi_3          xi       r^2*xi_2      r^2*xi
  0.00 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000
 24.30 8.354772e-012 9.016240e-002 -1.285399e-004 9.003386e-002 5.323999e+001 5.316409e+001
 24.40 8.354772e-012 8.899233e-002 1.464991e-004 8.913884e-002 5.298247e+001 5.306970e+001
 24.50 8.354772e-012 8.796626e-002 2.837534e-004 8.825001e-002 5.280175e+001 5.297207e+001
 24.60 8.354772e-012 8.721001e-002 1.601217e-004 8.737013e-002 5.277601e+001 5.287291e+001
 24.70 8.354772e-012 8.661071e-002 -1.077058e-004 8.650301e-002 5.284033e+001 5.277462e+001
 24.80 8.354772e-012 8.592401e-002 -2.732902e-004 8.565072e-002 5.284670e+001 5.267862e+001
 24.90 8.354772e-012 8.499861e-002 -1.871312e-004 8.481148e-002 5.269999e+001 5.258396e+001
 25.00 8.354772e-012 8.391237e-002 6.841765e-005 8.398078e-002 5.244523e+001 5.248799e+001
 25.10 8.354772e-012 8.289804e-002 2.577810e-004 8.315583e-002 5.222660e+001 5.238900e+001
 25.20 8.354772e-012 8.212782e-002 2.092238e-004 8.233705e-002 5.215446e+001 5.228732e+001
 25.30 8.354775e-012 8.155783e-002 -2.943623e-005 8.152840e-002 5.220435e+001 5.218551e+001
 25.40 8.354775e-012 8.097050e-002 -2.377417e-004 8.073276e-002 5.223892e+001 5.208554e+001
 25.50 8.354775e-012 8.017655e-002 -2.261575e-004 7.995040e-002 5.213480e+001 5.198775e+001
 25.60 8.354775e-012 7.918642e-002 -8.481792e-006 7.917795e-002 5.189562e+001 5.189006e+001
 25.70 8.354775e-012 7.819782e-002 2.137462e-004 7.841157e-002 5.164888e+001 5.179006e+001
 25.80 8.354775e-012 7.741234e-002 2.377946e-004 7.765013e-002 5.152874e+001 5.168703e+001
 25.90 8.354777e-012 7.685112e-002 4.462939e-005 7.689575e-002 5.155250e+001 5.158244e+001
 26.00 8.354777e-012 7.633861e-002 -1.864343e-004 7.615218e-002 5.160490e+001 5.147887e+001
 26.10 8.354777e-012 7.566541e-002 -2.441215e-004 7.542130e-002 5.154404e+001 5.137774e+001
 26.20 8.354777e-012 7.477964e-002 -7.834416e-005 7.470129e-002 5.133174e+001 5.127796e+001
 26.30 8.354777e-012 7.383196e-002 1.564836e-004 7.398845e-002 5.106883e+001 5.117706e+001
 26.40 8.354777e-012 7.303474e-002 2.452193e-004 7.327996e-002 5.090229e+001 5.107320e+001
 26.50 8.354777e-012 7.246748e-002 1.090509e-004 7.257654e-002 5.089029e+001 5.096687e+001
 26.60 8.354774e-012 7.200585e-002 -1.246065e-004 7.188125e-002 5.094846e+001 5.086030e+001
 26.70 8.354774e-012 7.143860e-002 -2.412800e-004 7.119732e-002 5.092786e+001 5.075586e+001
 26.80 8.354774e-012 7.066085e-002 -1.362541e-004 7.052460e-002 5.075145e+001 5.065358e+001
 26.90 8.354774e-012 6.976867e-002 9.151958e-005 6.986020e-002 5.048531e+001 5.055154e+001
 27.00 8.354774e-012 6.896818e-002 2.325722e-004 6.920075e-002 5.027781e+001 5.044735e+001
 27.10 8.354774e-012 6.838534e-002 1.595253e-004 6.854486e-002 5.022288e+001 5.034004e+001
 27.20 8.354774e-012 6.795285e-002 -5.795102e-005 6.789490e-002 5.027424e+001 5.023136e+001
 27.30 8.354774e-012 6.747363e-002 -2.194782e-004 6.725415e-002 5.028742e+001 5.012384e+001
 27.40 8.354774e-012 6.680277e-002 -1.785643e-004 6.662421e-002 5.015285e+001 5.001879e+001
 27.50 8.354774e-012 6.597902e-002 2.459759e-005 6.600361e-002 4.989663e+001 4.991523e+001
 27.60 8.354774e-012 6.518649e-002 2.024417e-004 6.538893e-002 4.965646e+001 4.981067e+001
 27.70 8.354774e-012 6.458447e-002 1.931514e-004 6.477762e-002 4.955502e+001 4.970322e+001
 27.80 8.354774e-012 6.416237e-002 7.863254e-006 6.417023e-002 4.958725e+001 4.959332e+001
 27.90 8.354774e-012 6.375171e-002 -1.819706e-004 6.356974e-002 4.962497e+001 4.948332e+001
 28.00 8.354774e-012 6.318202e-002 -2.031730e-004 6.297885e-002 4.953470e+001 4.937542e+001
 28.10 8.354774e-012 6.243660e-002 -3.880183e-005 6.239780e-002 4.930057e+001 4.926993e+001
 28.20 8.354774e-012 6.166507e-002 1.586248e-004 6.182369e-002 4.903853e+001 4.916468e+001
 28.30 8.354774e-012 6.104495e-002 2.086095e-004 6.125356e-002 4.889029e+001 4.905736e+001
 28.40 8.354769e-012 6.061861e-002 6.765408e-005 6.068627e-002 4.889255e+001 4.894711e+001
 28.50 8.354769e-012 6.025669e-002 -1.330054e-004 6.012369e-002 4.894350e+001 4.883546e+001
 28.60 8.354769e-012 5.977845e-002 -2.095371e-004 5.956891e-002 4.889638e+001 4.872499e+001
 28.70 8.354773e-012 5.911751e-002 -9.390353e-005 5.902361e-002 4.869451e+001 4.861716e+001
 28.80 8.354773e-012 5.838053e-002 1.057336e-004 5.848627e-002 4.842315e+001 4.851085e+001
 28.90 8.354773e-012 5.774769e-002 2.061359e-004 5.795382e-002 4.823145e+001 4.840361e+001
 29.00 8.354773e-012 5.730688e-002 1.171306e-004 5.742401e-002 4.819508e+001 4.829359e+001
 29.10 8.354773e-012 5.697468e-002 -7.744180e-005 5.689724e-002 4.824673e+001 4.818115e+001
 29.20 8.354773e-012 5.657497e-002 -1.986490e-004 5.637633e-002 4.823809e+001 4.806871e+001
 29.30 8.354773e-012 5.600075e-002 -1.369800e-004 5.586377e-002 4.807608e+001 4.795849e+001
 29.40 8.354773e-012 5.531084e-002 4.875287e-005 5.535959e-002 4.780847e+001 4.785061e+001
 29.50 8.354773e-012 5.467407e-002 1.874110e-004 5.486149e-002 4.758011e+001 4.774321e+001
 29.60 8.354773e-012 5.421322e-002 1.531894e-004 5.436641e-002 4.749945e+001 4.763367e+001
 29.70 8.354773e-012 5.389381e-002 -2.027406e-005 5.387354e-002 4.753920e+001 4.752131e+001
 29.80 8.354773e-012 5.355741e-002 -1.728148e-004 5.338459e-002 4.756112e+001 4.740765e+001
 29.90 8.354773e-012 5.306797e-002 -1.655926e-004 5.290238e-002 4.744330e+001 4.729526e+001
 30.00 8.354773e-012 5.243571e-002 -7.419874e-006 5.242829e-002 4.719214e+001 4.718546e+001
 30.10 8.354773e-012 5.180586e-002 1.553125e-004 5.196117e-002 4.693663e+001 4.707734e+001
 30.20 8.354773e-012 5.132403e-002 1.740880e-004 5.149812e-002 4.680957e+001 4.696834e+001
 30.30 8.354773e-012 5.100327e-002 3.379756e-005 5.103706e-002 4.682559e+001 4.685661e+001
 30.40 8.354768e-012 5.071381e-002 -1.353701e-004 5.057844e-002 4.686767e+001 4.674257e+001
 30.50 8.354768e-012 5.030347e-002 -1.786873e-004 5.012478e-002 4.679480e+001 4.662858e+001
 30.60 8.354768e-012 4.973666e-002 -5.837541e-005 4.967828e-002 4.657142e+001 4.651676e+001
 30.70 8.354768e-012 4.912567e-002 1.135178e-004 4.923918e-002 4.630045e+001 4.640744e+001
 30.80 8.354768e-012 4.862581e-002 1.794602e-004 4.880527e-002 4.612838e+001 4.629863e+001
 30.90 8.354767e-012 4.829304e-002 8.073755e-005 4.837378e-002 4.611068e+001 4.618777e+001
 31.00 8.354767e-012 4.803425e-002 -9.028197e-005 4.794397e-002 4.616091e+001 4.607415e+001
 31.10 8.354767e-012 4.769395e-002 -1.765498e-004 4.751740e-002 4.613007e+001 4.595931e+001
 31.20 8.354767e-012 4.719706e-002 -1.005143e-004 4.709654e-002 4.594351e+001 4.584566e+001
 31.30 8.354767e-012 4.661677e-002 6.619332e-005 4.668297e-002 4.566999e+001 4.573484e+001
 31.40 8.354767e-012 4.610512e-002 1.701990e-004 4.627531e-002 4.545780e+001 4.562561e+001
 31.50 8.354767e-012 4.575365e-002 1.174407e-004 4.587109e-002 4.539906e+001 4.551559e+001
 31.60 8.354767e-012 4.551020e-002 -4.177920e-005 4.546842e-002 4.544467e+001 4.540295e+001
 31.70 8.354767e-012 4.522832e-002 -1.606823e-004 4.506763e-002 4.544949e+001 4.528802e+001
 31.80 8.354767e-012 4.480231e-002 -1.312903e-004 4.467102e-002 4.530589e+001 4.517312e+001
 31.90 8.354767e-012 4.426324e-002 1.754510e-005 4.428079e-002 4.504271e+001 4.506057e+001
 32.00 8.354771e-012 4.374861e-002 1.483311e-004 4.389694e-002 4.479857e+001 4.495046e+001
 32.10 8.354771e-012 4.337560e-002 1.419268e-004 4.351753e-002 4.469465e+001 4.484089e+001
 32.20 8.354771e-012 4.313412e-002 6.031424e-006 4.314015e-002 4.472319e+001 4.472944e+001
 32.30 8.354771e-012 4.289752e-002 -1.335230e-004 4.276400e-002 4.475455e+001 4.461525e+001
 32.40 8.354771e-012 4.253973e-002 -1.492759e-004 4.239046e-002 4.465652e+001 4.449981e+001
 32.50 8.354771e-012 4.205048e-002 -2.851390e-005 4.202197e-002 4.441582e+001 4.438571e+001
 32.60 8.354771e-012 4.154311e-002 1.166603e-004 4.165978e-002 4.415036e+001 4.427434e+001
 32.70 8.354771e-012 4.114947e-002 1.533517e-004 4.130282e-002 4.400072e+001 4.416469e+001
 32.80 8.354771e-012 4.089930e-002 4.950213e-005 4.094880e-002 4.400110e+001 4.405436e+001
 32.90 8.354771e-012 4.069401e-002 -9.817279e-005 4.059584e-002 4.404761e+001 4.394135e+001
 33.00 8.354771e-012 4.039858e-002 -1.542119e-004 4.024436e-002 4.399405e+001 4.382611e+001
 33.10 8.354771e-012 3.996517e-002 -6.865004e-005 3.989652e-002 4.378624e+001 4.371102e+001
 33.20 8.354771e-012 3.947576e-002 7.848963e-005 3.955425e-002 4.351176e+001 4.359827e+001
 33.30 8.354771e-012 3.906562e-002 1.519814e-004 3.921760e-002 4.331948e+001 4.348801e+001
 33.40 8.354771e-012 3.879919e-002 8.565895e-005 3.888485e-002 4.328283e+001 4.337839e+001
 33.50 8.354771e-012 3.861170e-002 -5.805036e-005 3.855365e-002 4.333198e+001 4.326684e+001
 33.60 8.354771e-012 3.837017e-002 -1.468422e-004 3.822332e-002 4.331838e+001 4.315260e+001
 33.70 8.354770e-012 3.799544e-002 -1.002988e-004 3.789514e-002 4.315104e+001 4.303713e+001
 33.80 8.354770e-012 3.753411e-002 3.728770e-005 3.757140e-002 4.288047e+001 4.292306e+001
 33.90 8.354770e-012 3.711422e-002 1.390226e-004 3.725325e-002 4.265204e+001 4.281181e+001
 34.00 8.354770e-012 3.682731e-002 1.123916e-004 3.693971e-002 4.257238e+001 4.270230e+001
 34.10 8.354770e-012 3.664521e-002 -1.661645e-005 3.662860e-002 4.261141e+001 4.259209e+001
 34.20 8.354770e-012 3.644709e-002 -1.287898e-004 3.631830e-002 4.262998e+001 4.247934e+001
 34.30 8.354770e-012 3.613095e-002 -1.218077e-004 3.600914e-002 4.250769e+001 4.236439e+001
 34.40 8.354770e-012 3.570658e-002 -3.565875e-006 3.570301e-002 4.225374e+001 4.224952e+001
 34.50 8.354770e-012 3.528539e-002 1.164407e-004 3.540183e-002 4.199844e+001 4.213703e+001
 34.60 8.354770e-012 3.497723e-002 1.284874e-004 3.510572e-002 4.187333e+001 4.202716e+001
 34.70 8.354770e-012 3.478998e-002 2.290533e-005 3.481289e-002 4.189027e+001 4.191785e+001
 34.80 8.354770e-012 3.462364e-002 -1.023010e-004 3.452134e-002 4.193061e+001 4.180672e+001
 34.90 8.354770e-012 3.436282e-002 -1.324104e-004 3.423041e-002 4.185426e+001 4.169298e+001
 35.00 8.354770e-012 3.398231e-002 -4.106487e-005 3.394124e-002 4.162833e+001 4.157802e+001
 35.10 8.354770e-012 3.356928e-002 8.671299e-005 3.365600e-002 4.135769e+001 4.146452e+001
 35.20 8.354770e-012 3.324202e-002 1.336253e-004 3.337565e-002 4.118820e+001 4.135377e+001
 35.30 8.354770e-012 3.304167e-002 5.775181e-005 3.309942e-002 4.117289e+001 4.124486e+001
 35.40 8.354770e-012 3.289529e-002 -7.003386e-005 3.282526e-002 4.122307e+001 4.113530e+001
 35.50 8.354769e-012 3.268388e-002 -1.322171e-004 3.255166e-002 4.118986e+001 4.102323e+001
 35.60 8.354769e-012 3.235159e-002 -7.271074e-005 3.227888e-002 4.100111e+001 4.090896e+001
 35.70 8.354769e-012 3.195613e-002 5.260956e-005 3.200874e-002 4.072777e+001 4.079482e+001
 35.80 8.354768e-012 3.161470e-002 1.283122e-004 3.174302e-002 4.051867e+001 4.068312e+001
 35.90 8.354765e-012 3.139601e-002 8.572514e-005 3.148173e-002 4.046349e+001 4.057397e+001
 36.00 8.354765e-012 3.125821e-002 -3.479840e-005 3.122342e-002 4.051065e+001 4.046555e+001
 36.10 8.354765e-012 3.108818e-002 -1.220803e-004 3.096610e-002 4.051442e+001 4.035532e+001
 36.20 8.354765e-012 3.080576e-002 -9.663975e-005 3.070913e-002 4.036911e+001 4.024247e+001
 36.30 8.354765e-012 3.043666e-002 1.694478e-005 3.045361e-002 4.010608e+001 4.012841e+001
 36.40 8.354765e-012 3.008777e-002 1.137281e-004 3.020149e-002 3.986509e+001 4.001577e+001
 36.50 8.354765e-012 2.984852e-002 1.053246e-004 2.995384e-002 3.976569e+001 3.990601e+001
 36.60 8.354765e-012 2.970920e-002 6.187613e-007 2.970982e-002 3.979726e+001 3.979809e+001
 36.70 8.354765e-012 2.957105e-002 -1.034852e-004 2.946756e-002 3.982895e+001 3.968956e+001
 36.80 8.354765e-012 2.933737e-002 -1.117007e-004 2.922567e-002 3.972984e+001 3.957857e+001
 36.90 8.354765e-012 2.900191e-002 -1.757509e-005 2.898434e-002 3.948930e+001 3.946537e+001
 37.00 8.354765e-012 2.865368e-002 9.160186e-005 2.874528e-002 3.922688e+001 3.935228e+001
 37.10 8.354765e-012 2.839444e-002 1.157318e-004 2.851018e-002 3.908239e+001 3.924169e+001
 37.20 8.354765e-012 2.824542e-002 3.364433e-005 2.827906e-002 3.908714e+001 3.913370e+001
 37.30 8.354765e-012 2.812890e-002 -7.835920e-005 2.805054e-002 3.913546e+001 3.902644e+001
 37.40 8.354763e-012 2.794019e-002 -1.174203e-004 2.782277e-002 3.908163e+001 3.891738e+001
 37.50 8.354763e-012 2.764374e-002 -4.855640e-005 2.759518e-002 3.887401e+001 3.880573e+001
 37.60 8.354763e-012 2.730475e-002 6.404012e-005 2.736879e-002 3.860236e+001 3.869290e+001
 37.70 8.354763e-012 2.702863e-002 1.168191e-004 2.714545e-002 3.841552e+001 3.858155e+001
 37.80 8.354763e-012 2.686402e-002 6.207432e-005 2.692610e-002 3.838439e+001 3.847308e+001
 37.90 8.354763e-012 2.675892e-002 -4.894852e-005 2.670998e-002 3.843679e+001 3.836648e+001
 38.00 8.354763e-012 2.660934e-002 -1.140044e-004 2.649533e-002 3.842388e+001 3.825926e+001
 38.10 8.354763e-012 2.635488e-002 -7.399597e-005 2.628088e-002 3.825700e+001 3.814959e+001
 38.20 8.354763e-012 2.603346e-002 3.337505e-005 2.606683e-002 3.798906e+001 3.803777e+001
 38.30 8.354763e-012 2.574571e-002 1.090962e-004 2.585480e-002 3.776612e+001 3.792615e+001
 38.40 8.354763e-012 2.556210e-002 8.414537e-005 2.564624e-002 3.769285e+001 3.781693e+001
 38.50 8.354763e-012 2.545891e-002 -1.762203e-005 2.544129e-002 3.773647e+001 3.771035e+001
 38.60 8.354763e-012 2.534092e-002 -1.022466e-004 2.523867e-002 3.775695e+001 3.760461e+001
 38.70 8.354767e-012 2.512896e-002 -9.239566e-005 2.503656e-002 3.763539e+001 3.749701e+001
 38.80 8.354767e-012 2.483254e-002 1.985143e-006 2.483452e-002 3.738389e+001 3.738688e+001
 38.90 8.354767e-012 2.453984e-002 9.363883e-005 2.463348e-002 3.713393e+001 3.727563e+001
 39.00 8.354767e-012 2.433645e-002 9.864304e-005 2.443510e-002 3.701575e+001 3.716578e+001
 39.10 8.354767e-012 2.422708e-002 1.325109e-005 2.424033e-002 3.703860e+001 3.705886e+001
 39.20 8.354767e-012 2.413193e-002 -8.347274e-005 2.404846e-002 3.708209e+001 3.695382e+001
 39.30 8.354767e-012 2.396071e-002 -1.028251e-004 2.385789e-002 3.700708e+001 3.684827e+001
 39.40 8.354767e-012 2.369516e-002 -2.781116e-005 2.366735e-002 3.678342e+001 3.674025e+001
 39.50 8.354767e-012 2.340508e-002 7.197728e-005 2.347706e-002 3.651778e+001 3.663009e+001
 39.60 8.354767e-012 2.318358e-002 1.049152e-004 2.328850e-002 3.635556e+001 3.652009e+001
 39.70 8.354767e-012 2.306163e-002 4.145186e-005 2.310308e-002 3.634721e+001 3.641254e+001
 39.80 8.354767e-012 2.298036e-002 -5.939974e-005 2.292096e-002 3.640181e+001 3.630771e+001
 39.90 8.354767e-012 2.284577e-002 -1.049319e-004 2.274084e-002 3.637069e+001 3.620364e+001
 40.00 8.354766e-012 2.261508e-002 -5.393667e-005 2.256115e-002 3.618413e+001 3.609783e+001
 40.10 8.354766e-012 2.233539e-002 4.600167e-005 2.238139e-002 3.591553e+001 3.598950e+001
 40.20 8.354766e-012 2.209949e-002 1.029180e-004 2.220241e-002 3.571367e+001 3.587999e+001
 40.30 8.354766e-012 2.196080e-002 6.505771e-005 2.202586e-002 3.566631e+001 3.577197e+001
 40.40 8.354766e-012 2.188458e-002 -3.205713e-005 2.185253e-002 3.571915e+001 3.566682e+001
 40.50 8.354766e-012 2.178079e-002 -9.895689e-005 2.168184e-002 3.572595e+001 3.556363e+001
 40.60 8.354766e-012 2.158687e-002 -7.463912e-005 2.151223e-002 3.558293e+001 3.545989e+001
 40.70 8.354766e-012 2.132470e-002 1.783249e-005 2.134254e-002 3.532416e+001 3.535370e+001
 40.80 8.354766e-012 2.107985e-002 9.316787e-005 2.117301e-002 3.509035e+001 3.524544e+001
 40.90 8.354766e-012 2.092244e-002 8.252759e-005 2.100497e-002 3.499927e+001 3.513732e+001
 41.00 8.354766e-012 2.084341e-002 -3.606837e-006 2.083980e-002 3.503776e+001 3.503170e+001
 41.10 8.354766e-012 2.076327e-002 -8.569974e-005 2.067757e-002 3.507352e+001 3.492876e+001
 41.20 8.354766e-012 2.060575e-002 -8.861309e-005 2.051713e-002 3.497702e+001 3.482660e+001
 41.30 8.354766e-012 2.036737e-002 -1.034635e-005 2.035703e-002 3.474043e+001 3.472278e+001
 41.40 8.354766e-012 2.011998e-002 7.673963e-005 2.019672e-002 3.448484e+001 3.461637e+001
 41.50 8.354765e-012 1.994422e-002 9.281625e-005 2.003703e-002 3.434892e+001 3.450878e+001
 41.60 8.354765e-012 1.985579e-002 2.376612e-005 1.987956e-002 3.436164e+001 3.440277e+001
 41.70 8.354765e-012 1.979148e-002 -6.647625e-005 1.972501e-002 3.441521e+001 3.429962e+001
 41.80 8.354765e-012 1.966792e-002 -9.509396e-005 1.957283e-002 3.436458e+001 3.419843e+001
 41.90 8.354765e-012 1.945799e-002 -3.639807e-005 1.942159e-002 3.416064e+001 3.409674e+001
 42.00 8.354765e-012 1.921504e-002 5.513812e-005 1.927018e-002 3.389533e+001 3.399259e+001
 42.10 8.354765e-012 1.902338e-002 9.543811e-005 1.911881e-002 3.371722e+001 3.388637e+001
 42.20 8.354765e-012 1.892073e-002 4.802368e-005 1.896875e-002 3.369479e+001 3.378031e+001
 42.30 8.354765e-012 1.886422e-002 -4.297052e-005 1.882125e-002 3.375357e+001 3.367668e+001
 42.40 8.354764e-012 1.877037e-002 -9.388083e-005 1.867648e-002 3.374461e+001 3.357584e+001
 42.50 8.354764e-012 1.859172e-002 -5.842407e-005 1.853330e-002 3.358129e+001 3.347576e+001
 42.60 8.354764e-012 1.836011e-002 3.022926e-005 1.839034e-002 3.331919e+001 3.337405e+001
 42.70 8.354764e-012 1.815657e-002 9.048924e-005 1.824706e-002 3.310470e+001 3.326969e+001
 42.80 8.354764e-012 1.803696e-002 6.742276e-005 1.810438e-002 3.304082e+001 3.316433e+001
 42.90 8.354764e-012 1.798078e-002 -1.717836e-005 1.796360e-002 3.309200e+001 3.306039e+001
 43.00 8.354764e-012 1.791091e-002 -8.536864e-005 1.782554e-002 3.311726e+001 3.295942e+001
 43.10 8.354764e-012 1.776448e-002 -7.486773e-005 1.768961e-002 3.299946e+001 3.286039e+001
 43.20 8.354764e-012 1.755038e-002 4.077895e-006 1.755446e-002 3.275322e+001 3.276083e+001
 43.30 8.354764e-012 1.734044e-002 7.865058e-005 1.741909e-002 3.251142e+001 3.265888e+001
 43.40 8.354764e-012 1.720306e-002 8.063646e-005 1.728370e-002 3.240300e+001 3.255488e+001
 43.50 8.354764e-012 1.714064e-002 8.805193e-006 1.714945e-002 3.243438e+001 3.245104e+001
 43.60 8.354764e-012 1.708804e-002 -7.050364e-005 1.701753e-002 3.248367e+001 3.234965e+001
 43.70 8.354764e-012 1.697272e-002 -8.465116e-005 1.688807e-002 3.241264e+001 3.225098e+001
 43.80 8.354764e-012 1.678131e-002 -2.121661e-005 1.676010e-002 3.219394e+001 3.215324e+001
 43.90 8.354764e-012 1.657109e-002 6.112275e-005 1.663221e-002 3.193597e+001 3.205377e+001
 44.00 8.354764e-012 1.641716e-002 8.686142e-005 1.650402e-002 3.178362e+001 3.195178e+001
 44.10 8.354764e-012 1.634331e-002 3.291338e-005 1.637623e-002 3.178464e+001 3.184864e+001
 44.20 8.354764e-012 1.630087e-002 -5.071738e-005 1.625015e-002 3.184603e+001 3.174695e+001
 44.30 8.354764e-012 1.621382e-002 -8.726452e-005 1.612656e-002 3.181946e+001 3.164821e+001
 44.40 8.354764e-012 1.604863e-002 -4.366996e-005 1.600496e-002 3.163762e+001 3.155153e+001
 44.50 8.354762e-012 1.584449e-002 3.952449e-005 1.588402e-002 3.137606e+001 3.145433e+001
 44.60 8.354762e-012 1.567692e-002 8.588265e-005 1.576280e-002 3.118389e+001 3.135473e+001
 44.70 8.354762e-012 1.558816e-002 5.329111e-005 1.564145e-002 3.114655e+001 3.125303e+001
 44.80 8.354762e-012 1.554890e-002 -2.778736e-005 1.552111e-002 3.120726e+001 3.115149e+001
 44.90 8.354758e-012 1.548571e-002 -8.278611e-005 1.540293e-002 3.121935e+001 3.105246e+001
 45.00 8.354758e-012 1.534858e-002 -6.160118e-005 1.528698e-002 3.108088e+001 3.095614e+001
 45.10 8.354758e-012 1.515660e-002 1.575974e-005 1.517236e-002 3.082867e+001 3.086072e+001
 45.20 8.354758e-012 1.497970e-002 7.806997e-005 1.505777e-002 3.060412e+001 3.076362e+001
 45.30 8.354758e-012 1.487434e-002 6.845553e-005 1.494279e-002 3.052348e+001 3.066395e+001
 45.40 8.354758e-012 1.483185e-002 -3.697888e-006 1.482815e-002 3.057082e+001 3.056320e+001
 45.50 8.354761e-012 1.478696e-002 -7.187263e-005 1.471508e-002 3.061270e+001 3.046390e+001
 45.60 8.354761e-012 1.467802e-002 -7.374748e-005 1.460428e-002 3.052089e+001 3.036755e+001
 45.70 8.354761e-012 1.450341e-002 -8.152279e-006 1.449526e-002 3.029022e+001 3.027320e+001
 45.80 8.354761e-012 1.432249e-002 6.435122e-005 1.438685e-002 3.004344e+001 3.017842e+001
 45.90 8.354761e-012 1.420071e-002 7.739479e-005 1.427810e-002 2.991820e+001 3.008125e+001
 46.00 8.354761e-012 1.414961e-002 1.954702e-005 1.416916e-002 2.994058e+001 2.998194e+001
 46.10 8.354761e-012 1.411681e-002 -5.569377e-005 1.406112e-002 3.000119e+001 2.988283e+001
 46.20 8.354761e-012 1.403439e-002 -7.936957e-005 1.395502e-002 2.995557e+001 2.978616e+001
 46.30 8.354761e-012 1.388129e-002 -3.026075e-005 1.385103e-002 2.975718e+001 2.969232e+001
 46.40 8.354758e-012 1.370207e-002 4.610935e-005 1.374818e-002 2.950002e+001 2.959929e+001
 46.50 8.354760e-012 1.356567e-002 7.966437e-005 1.364533e-002 2.933237e+001 2.950462e+001
 46.60 8.354760e-012 1.350199e-002 4.008594e-005 1.354208e-002 2.932039e+001 2.940744e+001
 46.70 8.354760e-012 1.347489e-002 -3.581608e-005 1.343907e-002 2.938725e+001 2.930914e+001
 46.80 8.354760e-012 1.341580e-002 -7.831877e-005 1.333748e-002 2.938381e+001 2.921228e+001
 46.90 8.354756e-012 1.328679e-002 -4.883863e-005 1.323796e-002 2.922577e+001 2.911834e+001
 47.00 8.354756e-012 1.311505e-002 2.504818e-005 1.314010e-002 2.897115e+001 2.902648e+001
 47.10 8.354756e-012 1.296737e-002 7.539515e-005 1.304276e-002 2.876694e+001 2.893419e+001
 47.20 8.354756e-012 1.288866e-002 5.636562e-005 1.294502e-002 2.871386e+001 2.883944e+001
 47.30 8.354760e-012 1.286113e-002 -1.404058e-005 1.284709e-002 2.877407e+001 2.874265e+001
 47.40 8.354760e-012 1.282093e-002 -7.100014e-005 1.274993e-002 2.880556e+001 2.864603e+001
 47.50 8.354760e-012 1.271710e-002 -6.253910e-005 1.265456e-002 2.869296e+001 2.855186e+001
 47.60 8.354760e-012 1.255807e-002 3.031554e-006 1.256111e-002 2.845358e+001 2.846045e+001
 47.70 8.354756e-012 1.240347e-002 6.526203e-005 1.246873e-002 2.822149e+001 2.836998e+001
 47.80 8.354756e-012 1.230902e-002 6.727088e-005 1.237629e-002 2.812413e+001 2.827784e+001
 47.90 8.354756e-012 1.227566e-002 7.748134e-006 1.228341e-002 2.816539e+001 2.818317e+001
 48.00 8.354756e-012 1.224904e-002 -5.833549e-005 1.219070e-002 2.822178e+001 2.808738e+001
 48.10 8.354756e-012 1.216979e-002 -7.049300e-005 1.209930e-002 2.815615e+001 2.799306e+001
 48.20 8.354760e-012 1.202789e-002 -1.808454e-005 1.200981e-002 2.794368e+001 2.790167e+001
 48.30 8.354760e-012 1.187144e-002 5.039954e-005 1.192184e-002 2.769476e+001 2.781234e+001
 48.40 8.354759e-012 1.176210e-002 7.218908e-005 1.183429e-002 2.755343e+001 2.772254e+001
 48.50 8.354759e-012 1.171862e-002 2.777266e-005 1.174640e-002 2.756513e+001 2.763046e+001
 48.60 8.354759e-012 1.169984e-002 -4.164620e-005 1.165819e-002 2.763455e+001 2.753618e+001
 48.70 8.354754e-012 1.164307e-002 -7.236248e-005 1.157070e-002 2.761374e+001 2.744212e+001
 48.80 8.354754e-012 1.152148e-002 -3.663004e-005 1.148485e-002 2.743771e+001 2.735048e+001
 48.90 8.354754e-012 1.136851e-002 3.228289e-005 1.140079e-002 2.718449e+001 2.726168e+001
 49.00 8.354754e-012 1.124664e-002 7.105289e-005 1.131769e-002 2.700317e+001 2.717377e+001
 49.10 8.354754e-012 1.118999e-002 4.449780e-005 1.123449e-002 2.697695e+001 2.708422e+001
 49.20 8.354754e-012 1.117334e-002 -2.251610e-005 1.115082e-002 2.704663e+001 2.699213e+001
 49.30 8.354754e-012 1.113561e-002 -6.833300e-005 1.106728e-002 2.706499e+001 2.689891e+001
 49.40 8.354754e-012 1.103615e-002 -5.124061e-005 1.098491e-002 2.693219e+001 2.680715e+001
 49.50 8.354754e-012 1.089176e-002 1.256211e-005 1.090433e-002 2.668755e+001 2.671833e+001
 49.60 8.354754e-012 1.076084e-002 6.429893e-005 1.082514e-002 2.647339e+001 2.663157e+001
 49.70 8.354757e-012 1.068957e-002 5.675711e-005 1.074633e-002 2.640421e+001 2.654441e+001
 49.80 8.354757e-012 1.066973e-002 -2.630680e-006 1.066710e-002 2.646135e+001 2.645482e+001
 49.90 8.354757e-012 1.064664e-002 -5.907508e-005 1.058756e-002 2.651024e+001 2.636314e+001
