Correlation function xi(r) calculated from lcdm_z0.matter_pk within r = [0.000000, 120.000000]

r : scale; xi_1 : integral between 0 and k_min; xi_2 : integral within data range; xi_3 : integral from k_max to +INF

    r        xi_1         xi_2         xi_3          xi       r^2*xi_2      r^2*xi
  0.00 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000
  5.70 8.354780e-012 1.252210e+000 4.734510e-003 1.256945e+000 4.068431e+001 4.083813e+001
  5.80 8.354780e-012 1.226557e+000 6.541274e-004 1.227211e+000 4.126138e+001 4.128339e+001
  5.90 8.354780e-012 1.202323e+000 -3.741184e-003 1.198581e+000 4.185285e+001 4.172262e+001
  6.00 8.354780e-012 1.175520e+000 -4.522161e-003 1.170998e+000 4.231871e+001 4.215591e+001
  6.10 8.354780e-012 1.145579e+000 -1.225193e-003 1.144354e+000 4.262701e+001 4.258141e+001
  6.20 8.354780e-012 1.115584e+000 2.958033e-003 1.118542e+000 4.288306e+001 4.299677e+001
  6.30 8.354780e-012 1.089264e+000 4.246963e-003 1.093511e+000 4.323290e+001 4.340146e+001
  6.40 8.354780e-012 1.067600e+000 1.669758e-003 1.069270e+000 4.372890e+001 4.379729e+001
  6.50 8.354780e-012 1.048088e+000 -2.243944e-003 1.045844e+000 4.428171e+001 4.418690e+001
  6.60 8.354780e-012 1.027149e+000 -3.924869e-003 1.023224e+000 4.474260e+001 4.457163e+001
  6.70 8.354780e-012 1.003350e+000 -2.003548e-003 1.001347e+000 4.504039e+001 4.495045e+001
  6.80 8.354780e-012 9.785256e-001 1.598148e-003 9.801238e-001 4.524703e+001 4.532093e+001
  6.90 8.354780e-012 9.559224e-001 3.569208e-003 9.594916e-001 4.551147e+001 4.568139e+001
  7.00 8.354780e-012 9.371998e-001 2.240199e-003 9.394400e-001 4.592279e+001 4.603256e+001
  7.10 8.354780e-012 9.210148e-001 -1.019520e-003 9.199952e-001 4.642835e+001 4.637696e+001
  7.20 8.354780e-012 9.043633e-001 -3.191375e-003 9.011719e-001 4.688219e+001 4.671675e+001
  7.30 8.354780e-012 8.853371e-001 -2.391784e-003 8.829453e-001 4.717961e+001 4.705216e+001
  7.40 8.354780e-012 8.647436e-001 5.067846e-004 8.652504e-001 4.735336e+001 4.738111e+001
  7.50 8.354780e-012 8.452227e-001 2.801252e-003 8.480239e-001 4.754377e+001 4.770134e+001
  7.60 8.354780e-012 8.287681e-001 2.469183e-003 8.312373e-001 4.786965e+001 4.801227e+001
  7.70 8.354780e-012 8.149630e-001 -5.826703e-005 8.149047e-001 4.831915e+001 4.831570e+001
  7.80 8.354780e-012 8.014576e-001 -2.407209e-003 7.990504e-001 4.876068e+001 4.861423e+001
  7.90 8.354780e-012 7.861577e-001 -2.482318e-003 7.836754e-001 4.906410e+001 4.890918e+001
  8.00 8.354780e-012 7.690709e-001 -3.279902e-004 7.687429e-001 4.922054e+001 4.919954e+001
  8.10 8.354780e-012 7.521805e-001 2.016631e-003 7.541971e-001 4.935056e+001 4.948287e+001
  8.20 8.354780e-012 7.375566e-001 2.440336e-003 7.399970e-001 4.959331e+001 4.975739e+001
  8.30 8.354780e-012 7.254887e-001 6.542901e-004 7.261430e-001 4.997892e+001 5.002399e+001
  8.40 8.354780e-012 7.142904e-001 -1.635752e-003 7.126547e-001 5.040033e+001 5.028491e+001
  8.50 8.354780e-012 7.019008e-001 -2.351709e-003 6.995491e-001 5.071234e+001 5.054243e+001
  8.60 8.354780e-012 6.877372e-001 -9.232726e-004 6.868139e-001 5.086505e+001 5.079676e+001
  8.70 8.354780e-012 6.731376e-001 1.269958e-003 6.744075e-001 5.094978e+001 5.104590e+001
  8.80 8.354780e-012 6.600620e-001 2.224386e-003 6.622863e-001 5.111520e+001 5.128746e+001
  8.90 8.354780e-012 6.492949e-001 1.137909e-003 6.504328e-001 5.143065e+001 5.152078e+001
  9.00 8.354780e-012 6.397847e-001 -9.237446e-004 6.388609e-001 5.182256e+001 5.174774e+001
  9.10 8.354780e-012 6.296580e-001 -2.065732e-003 6.275923e-001 5.214199e+001 5.197092e+001
  9.20 8.354780e-012 6.179329e-001 -1.301436e-003 6.166315e-001 5.230184e+001 5.219169e+001
  9.30 8.354780e-012 6.053519e-001 6.007913e-004 6.059527e-001 5.235688e+001 5.240885e+001
  9.40 8.354780e-012 5.936362e-001 1.882620e-003 5.955188e-001 5.245369e+001 5.262003e+001
  9.50 8.354780e-012 5.838855e-001 1.417375e-003 5.853029e-001 5.269567e+001 5.282359e+001
  9.60 8.354780e-012 5.756085e-001 -3.040529e-004 5.753044e-001 5.304808e+001 5.302006e+001
  9.70 8.354780e-012 5.672249e-001 -1.681495e-003 5.655434e-001 5.337019e+001 5.321198e+001
