Derivatives of cos(x) at 10.000000 using extrapolated difference method

 i  h              derivative      e               epsilon 
 1  5.000000e-001  5.429210e-001
 2  2.500000e-001  5.439508e-001  1.029789e-003  1.896757e-003
 3  1.250000e-001  5.440169e-001  6.610155e-005  1.215212e-004
 4  6.250000e-002  5.440211e-001  4.172325e-006  7.669477e-006
 5  3.125000e-002  5.440199e-001  -1.192093e-006  -2.191262e-006
 6  1.562500e-002  5.440204e-001  4.768372e-007  8.765069e-007
 7  7.812500e-003  5.440242e-001  3.814697e-006  7.012049e-006
 8  3.906250e-003  5.440267e-001  2.503395e-006  4.601625e-006
 9  1.953125e-003  5.440318e-001  5.125999e-006  9.422331e-006
10  9.765625e-004  5.440471e-001  1.525879e-005  2.804761e-005
11  4.882813e-004  5.440369e-001  -1.019239e-005  -1.873440e-005
12  2.441406e-004  5.438843e-001  -1.525879e-004  -2.804734e-004
13  1.220703e-004  5.439453e-001  6.103516e-005  1.122208e-004
14  6.103516e-005  5.437825e-001  -1.627803e-004  -2.992585e-004
15  3.051758e-005  5.441081e-001  3.255606e-004  5.986962e-004
16  1.525879e-005  5.458984e-001  1.790345e-003  3.290421e-003
17  7.629395e-006  5.416667e-001  -4.231751e-003  -7.751902e-003
18  3.814697e-006  5.494792e-001  7.812500e-003  1.442308e-002
19  1.907349e-006  5.442708e-001  -5.208373e-003  -9.478745e-003
20  9.536743e-007  5.104167e-001  -3.385413e-002  -6.220089e-002
