Gradient descent of Schechter

gamma = 1.000000e-004, epsilon = 2.000000e-007

   log(phi*)      log(M*)       alpha        chi^2     
-4.000000e+000 9.000000e+000 -5.000000e-001 6.073610e+002
-3.999943e+000 9.000215e+000 -4.999645e-001 6.073605e+002
-3.999886e+000 9.000430e+000 -4.999290e-001 6.073600e+002
-3.999829e+000 9.000646e+000 -4.998933e-001 6.073595e+002
-3.999772e+000 9.000862e+000 -4.998575e-001 6.073589e+002
-3.999714e+000 9.001079e+000 -4.998218e-001 6.073585e+002
-3.999656e+000 9.001295e+000 -4.997859e-001 6.073579e+002
-3.999599e+000 9.001513e+000 -4.997499e-001 6.073574e+002
-3.999541e+000 9.001730e+000 -4.997140e-001 6.073569e+002
-3.999483e+000 9.001947e+000 -4.996780e-001 6.073564e+002
-3.999425e+000 9.002166e+000 -4.996418e-001 6.073558e+002
-3.999367e+000 9.002384e+000 -4.996057e-001 6.073553e+002
-3.999308e+000 9.002604e+000 -4.995696e-001 6.073548e+002
-3.999250e+000 9.002823e+000 -4.995333e-001 6.073542e+002
-3.999192e+000 9.003042e+000 -4.994969e-001 6.073538e+002
-3.999133e+000 9.003262e+000 -4.994606e-001 6.073532e+002
-3.999074e+000 9.003482e+000 -4.994241e-001 6.073527e+002
-3.999015e+000 9.003702e+000 -4.993876e-001 6.073522e+002
-3.998956e+000 9.003923e+000 -4.993510e-001 6.073516e+002
-3.998897e+000 9.004145e+000 -4.993144e-001 6.073511e+002
-3.998838e+000 9.004366e+000 -4.992777e-001 6.073505e+002
-3.998779e+000 9.004588e+000 -4.992409e-001 6.073500e+002
-3.998719e+000 9.004810e+000 -4.992040e-001 6.073495e+002
-3.998660e+000 9.005033e+000 -4.991672e-001 6.073489e+002
-3.998600e+000 9.005256e+000 -4.991301e-001 6.073484e+002
-3.998540e+000 9.005479e+000 -4.990930e-001 6.073478e+002
-3.998480e+000 9.005703e+000 -4.990559e-001 6.073473e+002
-3.998420e+000 9.005927e+000 -4.990186e-001 6.073467e+002
-3.998360e+000 9.006151e+000 -4.989812e-001 6.073462e+002
-3.998300e+000 9.006376e+000 -4.989439e-001 6.073456e+002
-3.998239e+000 9.006601e+000 -4.989066e-001 6.073450e+002
-3.998178e+000 9.006827e+000 -4.988691e-001 6.073445e+002
-3.998118e+000 9.007053e+000 -4.988316e-001 6.073439e+002
-3.998057e+000 9.007279e+000 -4.987940e-001 6.073434e+002
-3.997996e+000 9.007506e+000 -4.987564e-001 6.073428e+002
-3.997935e+000 9.007733e+000 -4.987187e-001 6.073422e+002
-3.997874e+000 9.007960e+000 -4.986809e-001 6.073417e+002
-3.997812e+000 9.008188e+000 -4.986429e-001 6.073411e+002
-3.997751e+000 9.008416e+000 -4.986049e-001 6.073405e+002
-3.997689e+000 9.008645e+000 -4.985670e-001 6.073400e+002
-3.997627e+000 9.008874e+000 -4.985289e-001 6.073394e+002
-3.997565e+000 9.009103e+000 -4.984907e-001 6.073388e+002
-3.997503e+000 9.009333e+000 -4.984525e-001 6.073382e+002
-3.997441e+000 9.009562e+000 -4.984142e-001 6.073376e+002
-3.997378e+000 9.009793e+000 -4.983758e-001 6.073370e+002
-3.997316e+000 9.010024e+000 -4.983374e-001 6.073365e+002
-3.997253e+000 9.010255e+000 -4.982988e-001 6.073359e+002
-3.997190e+000 9.010487e+000 -4.982602e-001 6.073353e+002
-3.997128e+000 9.010718e+000 -4.982215e-001 6.073347e+002
-3.997065e+000 9.010951e+000 -4.981828e-001 6.073341e+002
-3.997001e+000 9.011184e+000 -4.981440e-001 6.073335e+002
-3.996938e+000 9.011416e+000 -4.981050e-001 6.073329e+002
-3.996875e+000 9.011650e+000 -4.980661e-001 6.073323e+002
-3.996811e+000 9.011884e+000 -4.980270e-001 6.073317e+002
-3.996747e+000 9.012118e+000 -4.979880e-001 6.073311e+002
-3.996684e+000 9.012353e+000 -4.979487e-001 6.073305e+002
-3.996620e+000 9.012588e+000 -4.979096e-001 6.073299e+002
-3.996556e+000 9.012823e+000 -4.978703e-001 6.073293e+002
-3.996491e+000 9.013059e+000 -4.978310e-001 6.073287e+002
-3.996427e+000 9.013295e+000 -4.977916e-001 6.073281e+002
-3.996362e+000 9.013532e+000 -4.977520e-001 6.073275e+002
-3.996298e+000 9.013768e+000 -4.977125e-001 6.073268e+002
-3.996233e+000 9.014006e+000 -4.976727e-001 6.073262e+002
-3.996168e+000 9.014243e+000 -4.976329e-001 6.073256e+002
-3.996103e+000 9.014482e+000 -4.975930e-001 6.073250e+002
-3.996038e+000 9.014720e+000 -4.975531e-001 6.073243e+002
-3.995972e+000 9.014959e+000 -4.975131e-001 6.073237e+002
-3.995907e+000 9.015199e+000 -4.974730e-001 6.073231e+002
-3.995841e+000 9.015438e+000 -4.974328e-001 6.073224e+002
-3.995775e+000 9.015678e+000 -4.973926e-001 6.073218e+002
-3.995709e+000 9.015919e+000 -4.973522e-001 6.073212e+002
-3.995643e+000 9.016160e+000 -4.973119e-001 6.073205e+002
-3.995577e+000 9.016401e+000 -4.972715e-001 6.073199e+002
-3.995510e+000 9.016644e+000 -4.972310e-001 6.073192e+002
-3.995444e+000 9.016886e+000 -4.971904e-001 6.073186e+002
-3.995377e+000 9.017128e+000 -4.971497e-001 6.073179e+002
-3.995311e+000 9.017371e+000 -4.971090e-001 6.073173e+002
-3.995244e+000 9.017614e+000 -4.970681e-001 6.073167e+002
-3.995176e+000 9.017859e+000 -4.970272e-001 6.073160e+002
-3.995109e+000 9.018103e+000 -4.969862e-001 6.073153e+002
-3.995042e+000 9.018348e+000 -4.969452e-001 6.073146e+002
-3.994974e+000 9.018593e+000 -4.969040e-001 6.073140e+002
-3.994906e+000 9.018838e+000 -4.968629e-001 6.073134e+002
-3.994838e+000 9.019084e+000 -4.968216e-001 6.073127e+002
-3.994771e+000 9.019330e+000 -4.967802e-001 6.073120e+002
-3.994702e+000 9.019577e+000 -4.967387e-001 6.073113e+002
-3.994634e+000 9.019824e+000 -4.966972e-001 6.073107e+002
-3.994565e+000 9.020072e+000 -4.966556e-001 6.073100e+002
-3.994497e+000 9.020320e+000 -4.966140e-001 6.073093e+002
-3.994428e+000 9.020569e+000 -4.965723e-001 6.073086e+002
-3.994359e+000 9.020818e+000 -4.965304e-001 6.073079e+002
-3.994290e+000 9.021068e+000 -4.964886e-001 6.073073e+002
-3.994220e+000 9.021317e+000 -4.964466e-001 6.073066e+002
-3.994151e+000 9.021567e+000 -4.964046e-001 6.073058e+002
-3.994081e+000 9.021818e+000 -4.963624e-001 6.073052e+002
-3.994011e+000 9.022069e+000 -4.963202e-001 6.073045e+002
-3.993941e+000 9.022321e+000 -4.962779e-001 6.073038e+002
-3.993871e+000 9.022573e+000 -4.962354e-001 6.073031e+002
-3.993801e+000 9.022825e+000 -4.961929e-001 6.073024e+002
-3.993731e+000 9.023078e+000 -4.961504e-001 6.073017e+002
-3.993660e+000 9.023331e+000 -4.961078e-001 6.073010e+002
-3.993589e+000 9.023584e+000 -4.960651e-001 6.073002e+002
-3.993518e+000 9.023838e+000 -4.960222e-001 6.072996e+002
-3.993447e+000 9.024093e+000 -4.959793e-001 6.072988e+002
-3.993376e+000 9.024348e+000 -4.959364e-001 6.072981e+002
-3.993305e+000 9.024604e+000 -4.958934e-001 6.072974e+002
-3.993233e+000 9.024859e+000 -4.958502e-001 6.072966e+002
-3.993161e+000 9.025116e+000 -4.958069e-001 6.072959e+002
-3.993089e+000 9.025373e+000 -4.957636e-001 6.072952e+002
-3.993017e+000 9.025630e+000 -4.957202e-001 6.072945e+002
-3.992945e+000 9.025887e+000 -4.956766e-001 6.072937e+002
-3.992872e+000 9.026146e+000 -4.956331e-001 6.072930e+002
-3.992800e+000 9.026404e+000 -4.955894e-001 6.072922e+002
-3.992727e+000 9.026664e+000 -4.955457e-001 6.072915e+002
-3.992654e+000 9.026923e+000 -4.955017e-001 6.072908e+002
-3.992581e+000 9.027184e+000 -4.954577e-001 6.072900e+002
-3.992508e+000 9.027444e+000 -4.954137e-001 6.072892e+002
-3.992435e+000 9.027704e+000 -4.953696e-001 6.072885e+002
-3.992361e+000 9.027966e+000 -4.953255e-001 6.072878e+002
-3.992287e+000 9.028228e+000 -4.952812e-001 6.072870e+002
-3.992213e+000 9.028490e+000 -4.952367e-001 6.072863e+002
-3.992139e+000 9.028753e+000 -4.951923e-001 6.072855e+002
-3.992065e+000 9.029016e+000 -4.951479e-001 6.072847e+002
-3.991990e+000 9.029281e+000 -4.951034e-001 6.072839e+002
-3.991916e+000 9.029545e+000 -4.950587e-001 6.072831e+002
-3.991841e+000 9.029809e+000 -4.950139e-001 6.072823e+002
-3.991766e+000 9.030074e+000 -4.949690e-001 6.072816e+002
-3.991691e+000 9.030340e+000 -4.949239e-001 6.072808e+002
-3.991615e+000 9.030606e+000 -4.948789e-001 6.072800e+002
-3.991540e+000 9.030873e+000 -4.948337e-001 6.072792e+002
-3.991464e+000 9.031140e+000 -4.947886e-001 6.072784e+002
-3.991388e+000 9.031408e+000 -4.947432e-001 6.072776e+002
-3.991312e+000 9.031676e+000 -4.946978e-001 6.072769e+002
-3.991235e+000 9.031945e+000 -4.946525e-001 6.072761e+002
-3.991159e+000 9.032214e+000 -4.946068e-001 6.072753e+002
-3.991082e+000 9.032484e+000 -4.945610e-001 6.072745e+002
-3.991006e+000 9.032754e+000 -4.945152e-001 6.072736e+002
-3.990929e+000 9.033025e+000 -4.944694e-001 6.072728e+002
-3.990851e+000 9.033296e+000 -4.944232e-001 6.072720e+002
-3.990774e+000 9.033567e+000 -4.943772e-001 6.072712e+002
-3.990696e+000 9.033839e+000 -4.943311e-001 6.072704e+002
-3.990618e+000 9.034112e+000 -4.942848e-001 6.072696e+002
-3.990541e+000 9.034385e+000 -4.942385e-001 6.072687e+002
-3.990462e+000 9.034658e+000 -4.941919e-001 6.072679e+002
-3.990384e+000 9.034932e+000 -4.941454e-001 6.072671e+002
-3.990305e+000 9.035207e+000 -4.940986e-001 6.072662e+002
-3.990227e+000 9.035481e+000 -4.940519e-001 6.072654e+002
-3.990148e+000 9.035757e+000 -4.940050e-001 6.072645e+002
-3.990069e+000 9.036033e+000 -4.939582e-001 6.072637e+002
-3.989989e+000 9.036309e+000 -4.939111e-001 6.072628e+002
-3.989910e+000 9.036587e+000 -4.938639e-001 6.072620e+002
-3.989830e+000 9.036864e+000 -4.938166e-001 6.072611e+002
-3.989750e+000 9.037143e+000 -4.937693e-001 6.072603e+002
-3.989670e+000 9.037421e+000 -4.937219e-001 6.072594e+002
-3.989590e+000 9.037701e+000 -4.936743e-001 6.072585e+002
-3.989509e+000 9.037980e+000 -4.936267e-001 6.072577e+002
-3.989429e+000 9.038260e+000 -4.935790e-001 6.072568e+002
-3.989348e+000 9.038541e+000 -4.935312e-001 6.072559e+002
-3.989267e+000 9.038822e+000 -4.934832e-001 6.072551e+002
-3.989185e+000 9.039104e+000 -4.934353e-001 6.072542e+002
-3.989104e+000 9.039386e+000 -4.933872e-001 6.072533e+002
-3.989022e+000 9.039668e+000 -4.933390e-001 6.072524e+002
-3.988940e+000 9.039951e+000 -4.932906e-001 6.072515e+002
-3.988858e+000 9.040236e+000 -4.932422e-001 6.072506e+002
-3.988776e+000 9.040520e+000 -4.931937e-001 6.072497e+002
-3.988693e+000 9.040805e+000 -4.931452e-001 6.072488e+002
-3.988611e+000 9.041090e+000 -4.930963e-001 6.072479e+002
-3.988528e+000 9.041376e+000 -4.930475e-001 6.072470e+002
-3.988444e+000 9.041662e+000 -4.929986e-001 6.072461e+002
-3.988361e+000 9.041949e+000 -4.929496e-001 6.072452e+002
-3.988277e+000 9.042237e+000 -4.929005e-001 6.072443e+002
-3.988194e+000 9.042525e+000 -4.928513e-001 6.072433e+002
-3.988110e+000 9.042814e+000 -4.928019e-001 6.072424e+002
-3.988025e+000 9.043103e+000 -4.927524e-001 6.072415e+002
-3.987941e+000 9.043393e+000 -4.927028e-001 6.072405e+002
-3.987856e+000 9.043683e+000 -4.926531e-001 6.072396e+002
-3.987771e+000 9.043974e+000 -4.926032e-001 6.072386e+002
-3.987686e+000 9.044266e+000 -4.925533e-001 6.072377e+002
-3.987601e+000 9.044558e+000 -4.925032e-001 6.072368e+002
-3.987515e+000 9.044850e+000 -4.924530e-001 6.072358e+002
-3.987430e+000 9.045143e+000 -4.924029e-001 6.072349e+002
-3.987344e+000 9.045437e+000 -4.923525e-001 6.072339e+002
-3.987257e+000 9.045732e+000 -4.923021e-001 6.072329e+002
-3.987171e+000 9.046026e+000 -4.922515e-001 6.072319e+002
-3.987085e+000 9.046322e+000 -4.922008e-001 6.072310e+002
-3.986998e+000 9.046618e+000 -4.921500e-001 6.072300e+002
-3.986910e+000 9.046914e+000 -4.920992e-001 6.072290e+002
-3.986823e+000 9.047212e+000 -4.920483e-001 6.072280e+002
-3.986735e+000 9.047509e+000 -4.919972e-001 6.072271e+002
-3.986648e+000 9.047808e+000 -4.919461e-001 6.072261e+002
-3.986560e+000 9.048106e+000 -4.918948e-001 6.072250e+002
-3.986471e+000 9.048406e+000 -4.918434e-001 6.072241e+002
-3.986383e+000 9.048705e+000 -4.917919e-001 6.072231e+002
-3.986294e+000 9.049006e+000 -4.917403e-001 6.072220e+002
-3.986205e+000 9.049307e+000 -4.916885e-001 6.072210e+002
-3.986116e+000 9.049608e+000 -4.916367e-001 6.072200e+002
-3.986027e+000 9.049911e+000 -4.915847e-001 6.072190e+002
-3.985937e+000 9.050214e+000 -4.915326e-001 6.072180e+002
-3.985847e+000 9.050517e+000 -4.914805e-001 6.072170e+002
-3.985757e+000 9.050821e+000 -4.914282e-001 6.072159e+002
-3.985667e+000 9.051126e+000 -4.913758e-001 6.072148e+002
-3.985576e+000 9.051432e+000 -4.913231e-001 6.072138e+002
-3.985485e+000 9.051738e+000 -4.912705e-001 6.072128e+002
-3.985394e+000 9.052044e+000 -4.912179e-001 6.072117e+002
-3.985303e+000 9.052351e+000 -4.911650e-001 6.072107e+002
-3.985212e+000 9.052659e+000 -4.911121e-001 6.072097e+002
-3.985120e+000 9.052967e+000 -4.910589e-001 6.072086e+002
-3.985028e+000 9.053276e+000 -4.910056e-001 6.072075e+002
