Gradient descent of (x-2)^2+(y-2)^2

gamma = 1.000000e-003, epsilon = 1.000000e-007

      x            y          f(x,y)     
3.000000e+000 -1.000000e+000 1.000000e+001
2.998000e+000 -9.940000e-001 9.960040e+000
2.996004e+000 -9.880120e-001 9.920239e+000
2.994012e+000 -9.820360e-001 9.880598e+000
2.992024e+000 -9.760719e-001 9.841115e+000
2.990040e+000 -9.701197e-001 9.801790e+000
2.988060e+000 -9.641795e-001 9.762622e+000
2.986084e+000 -9.582511e-001 9.723611e+000
2.984112e+000 -9.523346e-001 9.684755e+000
2.982143e+000 -9.464299e-001 9.646055e+000
2.980179e+000 -9.405370e-001 9.607509e+000
2.978219e+000 -9.346560e-001 9.569118e+000
2.976262e+000 -9.287866e-001 9.530879e+000
2.974310e+000 -9.229290e-001 9.492794e+000
2.972361e+000 -9.170832e-001 9.454861e+000
2.970416e+000 -9.112490e-001 9.417079e+000
2.968476e+000 -9.054266e-001 9.379449e+000
2.966539e+000 -8.996157e-001 9.341969e+000
2.964606e+000 -8.938165e-001 9.304638e+000
2.962676e+000 -8.880289e-001 9.267456e+000
2.960751e+000 -8.822528e-001 9.230423e+000
2.958829e+000 -8.764883e-001 9.193539e+000
2.956912e+000 -8.707353e-001 9.156801e+000
2.954998e+000 -8.649939e-001 9.120211e+000
2.953088e+000 -8.592639e-001 9.083767e+000
2.951182e+000 -8.535454e-001 9.047468e+000
2.949280e+000 -8.478383e-001 9.011314e+000
2.947381e+000 -8.421426e-001 8.975306e+000
2.945486e+000 -8.364584e-001 8.939441e+000
2.943595e+000 -8.307855e-001 8.903719e+000
2.941708e+000 -8.251238e-001 8.868139e+000
2.939825e+000 -8.194736e-001 8.832702e+000
2.937945e+000 -8.138347e-001 8.797406e+000
2.936069e+000 -8.082070e-001 8.762252e+000
2.934197e+000 -8.025905e-001 8.727238e+000
2.932328e+000 -7.969854e-001 8.692364e+000
2.930464e+000 -7.913914e-001 8.657629e+000
2.928603e+000 -7.858086e-001 8.623034e+000
2.926746e+000 -7.802370e-001 8.588575e+000
2.924892e+000 -7.746766e-001 8.554255e+000
2.923042e+000 -7.691272e-001 8.520073e+000
2.921196e+000 -7.635890e-001 8.486027e+000
2.919354e+000 -7.580618e-001 8.452116e+000
2.917515e+000 -7.525457e-001 8.418342e+000
2.915680e+000 -7.470406e-001 8.384702e+000
2.913849e+000 -7.415465e-001 8.351196e+000
2.912021e+000 -7.360634e-001 8.317825e+000
2.910197e+000 -7.305913e-001 8.284587e+000
2.908376e+000 -7.251301e-001 8.251482e+000
2.906560e+000 -7.196799e-001 8.218510e+000
2.904747e+000 -7.142406e-001 8.185668e+000
2.902937e+000 -7.088121e-001 8.152958e+000
2.901131e+000 -7.033945e-001 8.120379e+000
2.899329e+000 -6.979877e-001 8.087930e+000
2.897530e+000 -6.925917e-001 8.055611e+000
2.895735e+000 -6.872065e-001 8.023420e+000
2.893944e+000 -6.818321e-001 7.991359e+000
2.892156e+000 -6.764684e-001 7.959425e+000
2.890372e+000 -6.711155e-001 7.927619e+000
2.888591e+000 -6.657733e-001 7.895941e+000
2.886814e+000 -6.604418e-001 7.864389e+000
2.885040e+000 -6.551210e-001 7.832963e+000
2.883270e+000 -6.498107e-001 7.801663e+000
2.881504e+000 -6.445111e-001 7.770487e+000
2.879740e+000 -6.392221e-001 7.739437e+000
2.877981e+000 -6.339436e-001 7.708509e+000
2.876225e+000 -6.286758e-001 7.677707e+000
2.874473e+000 -6.234184e-001 7.647027e+000
2.872724e+000 -6.181716e-001 7.616469e+000
2.870978e+000 -6.129352e-001 7.586033e+000
2.869236e+000 -6.077094e-001 7.555720e+000
2.867498e+000 -6.024940e-001 7.525527e+000
2.865763e+000 -5.972890e-001 7.495455e+000
2.864031e+000 -5.920945e-001 7.465504e+000
2.862303e+000 -5.869103e-001 7.435671e+000
2.860578e+000 -5.817365e-001 7.405958e+000
2.858857e+000 -5.765730e-001 7.376364e+000
2.857139e+000 -5.714199e-001 7.346888e+000
2.855425e+000 -5.662771e-001 7.317530e+000
2.853714e+000 -5.611445e-001 7.288289e+000
2.852007e+000 -5.560222e-001 7.259165e+000
2.850303e+000 -5.509102e-001 7.230157e+000
2.848602e+000 -5.458084e-001 7.201266e+000
2.846905e+000 -5.407168e-001 7.172489e+000
2.845211e+000 -5.356354e-001 7.143828e+000
2.843521e+000 -5.305641e-001 7.115282e+000
2.841834e+000 -5.255029e-001 7.086849e+000
2.840150e+000 -5.204519e-001 7.058530e+000
2.838470e+000 -5.154110e-001 7.030324e+000
2.836792e+000 -5.103802e-001 7.002231e+000
2.835119e+000 -5.053595e-001 6.974249e+000
2.833448e+000 -5.003487e-001 6.946380e+000
2.831782e+000 -4.953480e-001 6.918622e+000
2.830118e+000 -4.903573e-001 6.890975e+000
2.828458e+000 -4.853766e-001 6.863439e+000
2.826801e+000 -4.804059e-001 6.836012e+000
2.825147e+000 -4.754451e-001 6.808696e+000
2.823497e+000 -4.704942e-001 6.781488e+000
2.821850e+000 -4.655532e-001 6.754389e+000
2.820206e+000 -4.606221e-001 6.727399e+000
2.818566e+000 -4.557008e-001 6.700516e+000
2.816928e+000 -4.507895e-001 6.673741e+000
2.815295e+000 -4.458879e-001 6.647073e+000
2.813664e+000 -4.409961e-001 6.620511e+000
2.812037e+000 -4.361141e-001 6.594055e+000
2.810412e+000 -4.312419e-001 6.567705e+000
2.808792e+000 -4.263794e-001 6.541461e+000
2.807174e+000 -4.215266e-001 6.515321e+000
2.805560e+000 -4.166836e-001 6.489286e+000
2.803948e+000 -4.118502e-001 6.463354e+000
2.802341e+000 -4.070265e-001 6.437527e+000
2.800736e+000 -4.022124e-001 6.411802e+000
2.799134e+000 -3.974080e-001 6.386180e+000
2.797536e+000 -3.926132e-001 6.360662e+000
2.795941e+000 -3.878280e-001 6.335244e+000
2.794349e+000 -3.830523e-001 6.309928e+000
2.792760e+000 -3.782862e-001 6.284714e+000
2.791175e+000 -3.735296e-001 6.259600e+000
2.789592e+000 -3.687826e-001 6.234587e+000
2.788013e+000 -3.640450e-001 6.209673e+000
2.786437e+000 -3.593169e-001 6.184860e+000
2.784864e+000 -3.545983e-001 6.160145e+000
2.783294e+000 -3.498891e-001 6.135529e+000
2.781728e+000 -3.451893e-001 6.111012e+000
2.780164e+000 -3.404990e-001 6.086592e+000
2.778604e+000 -3.358180e-001 6.062269e+000
2.777047e+000 -3.311463e-001 6.038045e+000
2.775493e+000 -3.264840e-001 6.013917e+000
2.773942e+000 -3.218310e-001 5.989885e+000
2.772394e+000 -3.171874e-001 5.965950e+000
2.770849e+000 -3.125530e-001 5.942110e+000
2.769308e+000 -3.079279e-001 5.918365e+000
2.767769e+000 -3.033121e-001 5.894716e+000
2.766233e+000 -2.987054e-001 5.871161e+000
2.764701e+000 -2.941080e-001 5.847699e+000
2.763171e+000 -2.895198e-001 5.824332e+000
2.761645e+000 -2.849408e-001 5.801058e+000
2.760122e+000 -2.803709e-001 5.777876e+000
2.758602e+000 -2.758102e-001 5.754788e+000
2.757084e+000 -2.712585e-001 5.731792e+000
2.755570e+000 -2.667160e-001 5.708888e+000
