Gradient descent of Schechter

gamma = 1.000000e-004, epsilon = 2.000000e-007

   log(phi*)      log(M*)       alpha        chi^2     
-5.000000e+000 9.500000e+000 -1.500000e+000 6.073812e+002
-4.999948e+000 9.500112e+000 -1.499990e+000 6.073810e+002
-4.999895e+000 9.500223e+000 -1.499980e+000 6.073809e+002
-4.999843e+000 9.500335e+000 -1.499970e+000 6.073807e+002
-4.999790e+000 9.500447e+000 -1.499960e+000 6.073806e+002
-4.999738e+000 9.500559e+000 -1.499951e+000 6.073804e+002
-4.999685e+000 9.500671e+000 -1.499941e+000 6.073802e+002
-4.999633e+000 9.500784e+000 -1.499931e+000 6.073801e+002
-4.999580e+000 9.500896e+000 -1.499921e+000 6.073799e+002
-4.999528e+000 9.501009e+000 -1.499911e+000 6.073798e+002
-4.999475e+000 9.501122e+000 -1.499901e+000 6.073796e+002
-4.999422e+000 9.501234e+000 -1.499891e+000 6.073795e+002
-4.999369e+000 9.501347e+000 -1.499881e+000 6.073793e+002
-4.999316e+000 9.501459e+000 -1.499871e+000 6.073792e+002
-4.999263e+000 9.501572e+000 -1.499861e+000 6.073790e+002
-4.999210e+000 9.501684e+000 -1.499851e+000 6.073788e+002
-4.999157e+000 9.501797e+000 -1.499841e+000 6.073787e+002
-4.999104e+000 9.501909e+000 -1.499831e+000 6.073785e+002
-4.999052e+000 9.502022e+000 -1.499821e+000 6.073784e+002
-4.998999e+000 9.502134e+000 -1.499811e+000 6.073782e+002
-4.998946e+000 9.502247e+000 -1.499801e+000 6.073781e+002
-4.998893e+000 9.502359e+000 -1.499792e+000 6.073779e+002
-4.998840e+000 9.502473e+000 -1.499782e+000 6.073777e+002
-4.998787e+000 9.502586e+000 -1.499772e+000 6.073776e+002
-4.998734e+000 9.502700e+000 -1.499762e+000 6.073774e+002
-4.998681e+000 9.502813e+000 -1.499752e+000 6.073773e+002
-4.998628e+000 9.502927e+000 -1.499742e+000 6.073771e+002
-4.998574e+000 9.503040e+000 -1.499732e+000 6.073770e+002
-4.998521e+000 9.503154e+000 -1.499722e+000 6.073768e+002
-4.998467e+000 9.503267e+000 -1.499712e+000 6.073766e+002
-4.998414e+000 9.503381e+000 -1.499702e+000 6.073765e+002
-4.998361e+000 9.503494e+000 -1.499692e+000 6.073763e+002
-4.998307e+000 9.503608e+000 -1.499682e+000 6.073762e+002
-4.998254e+000 9.503721e+000 -1.499672e+000 6.073760e+002
-4.998200e+000 9.503835e+000 -1.499663e+000 6.073759e+002
-4.998147e+000 9.503948e+000 -1.499653e+000 6.073757e+002
-4.998094e+000 9.504062e+000 -1.499642e+000 6.073755e+002
-4.998040e+000 9.504175e+000 -1.499633e+000 6.073754e+002
-4.997987e+000 9.504290e+000 -1.499623e+000 6.073752e+002
-4.997933e+000 9.504404e+000 -1.499613e+000 6.073751e+002
-4.997880e+000 9.504519e+000 -1.499603e+000 6.073749e+002
-4.997826e+000 9.504633e+000 -1.499593e+000 6.073748e+002
-4.997772e+000 9.504747e+000 -1.499583e+000 6.073746e+002
-4.997718e+000 9.504862e+000 -1.499573e+000 6.073745e+002
-4.997664e+000 9.504976e+000 -1.499563e+000 6.073743e+002
-4.997610e+000 9.505091e+000 -1.499553e+000 6.073741e+002
-4.997556e+000 9.505205e+000 -1.499543e+000 6.073740e+002
-4.997502e+000 9.505320e+000 -1.499533e+000 6.073738e+002
-4.997448e+000 9.505434e+000 -1.499523e+000 6.073736e+002
-4.997395e+000 9.505548e+000 -1.499513e+000 6.073735e+002
-4.997341e+000 9.505663e+000 -1.499503e+000 6.073733e+002
-4.997287e+000 9.505777e+000 -1.499493e+000 6.073732e+002
-4.997232e+000 9.505892e+000 -1.499483e+000 6.073730e+002
-4.997179e+000 9.506006e+000 -1.499473e+000 6.073728e+002
-4.997124e+000 9.506122e+000 -1.499463e+000 6.073726e+002
-4.997070e+000 9.506237e+000 -1.499453e+000 6.073725e+002
-4.997015e+000 9.506352e+000 -1.499443e+000 6.073723e+002
-4.996961e+000 9.506468e+000 -1.499433e+000 6.073721e+002
-4.996907e+000 9.506583e+000 -1.499423e+000 6.073720e+002
-4.996852e+000 9.506699e+000 -1.499413e+000 6.073718e+002
-4.996798e+000 9.506814e+000 -1.499403e+000 6.073717e+002
-4.996744e+000 9.506929e+000 -1.499393e+000 6.073715e+002
-4.996689e+000 9.507045e+000 -1.499383e+000 6.073713e+002
-4.996635e+000 9.507160e+000 -1.499373e+000 6.073712e+002
-4.996581e+000 9.507276e+000 -1.499363e+000 6.073710e+002
-4.996526e+000 9.507391e+000 -1.499353e+000 6.073708e+002
-4.996472e+000 9.507506e+000 -1.499344e+000 6.073707e+002
-4.996417e+000 9.507622e+000 -1.499334e+000 6.073705e+002
-4.996362e+000 9.507737e+000 -1.499323e+000 6.073704e+002
-4.996307e+000 9.507853e+000 -1.499313e+000 6.073702e+002
-4.996253e+000 9.507969e+000 -1.499303e+000 6.073700e+002
-4.996198e+000 9.508085e+000 -1.499293e+000 6.073699e+002
-4.996143e+000 9.508202e+000 -1.499284e+000 6.073697e+002
-4.996088e+000 9.508318e+000 -1.499274e+000 6.073695e+002
-4.996033e+000 9.508434e+000 -1.499264e+000 6.073694e+002
-4.995978e+000 9.508551e+000 -1.499254e+000 6.073692e+002
-4.995924e+000 9.508667e+000 -1.499243e+000 6.073690e+002
-4.995868e+000 9.508783e+000 -1.499233e+000 6.073688e+002
-4.995813e+000 9.508900e+000 -1.499223e+000 6.073687e+002
-4.995758e+000 9.509016e+000 -1.499214e+000 6.073685e+002
-4.995702e+000 9.509132e+000 -1.499204e+000 6.073683e+002
-4.995647e+000 9.509249e+000 -1.499194e+000 6.073682e+002
-4.995592e+000 9.509365e+000 -1.499184e+000 6.073680e+002
-4.995536e+000 9.509482e+000 -1.499174e+000 6.073679e+002
-4.995481e+000 9.509599e+000 -1.499164e+000 6.073677e+002
-4.995426e+000 9.509716e+000 -1.499153e+000 6.073675e+002
-4.995370e+000 9.509833e+000 -1.499143e+000 6.073674e+002
-4.995315e+000 9.509951e+000 -1.499133e+000 6.073672e+002
-4.995259e+000 9.510068e+000 -1.499123e+000 6.073670e+002
-4.995204e+000 9.510185e+000 -1.499113e+000 6.073669e+002
-4.995148e+000 9.510303e+000 -1.499103e+000 6.073667e+002
-4.995092e+000 9.510420e+000 -1.499093e+000 6.073665e+002
-4.995037e+000 9.510537e+000 -1.499083e+000 6.073663e+002
-4.994981e+000 9.510654e+000 -1.499073e+000 6.073661e+002
-4.994925e+000 9.510772e+000 -1.499063e+000 6.073660e+002
-4.994869e+000 9.510889e+000 -1.499053e+000 6.073658e+002
-4.994813e+000 9.511006e+000 -1.499043e+000 6.073657e+002
-4.994758e+000 9.511124e+000 -1.499033e+000 6.073655e+002
-4.994702e+000 9.511242e+000 -1.499023e+000 6.073654e+002
-4.994646e+000 9.511360e+000 -1.499013e+000 6.073652e+002
-4.994589e+000 9.511478e+000 -1.499003e+000 6.073650e+002
-4.994533e+000 9.511597e+000 -1.498993e+000 6.073648e+002
-4.994477e+000 9.511715e+000 -1.498983e+000 6.073646e+002
-4.994421e+000 9.511833e+000 -1.498973e+000 6.073644e+002
-4.994364e+000 9.511951e+000 -1.498962e+000 6.073643e+002
-4.994308e+000 9.512070e+000 -1.498952e+000 6.073641e+002
-4.994252e+000 9.512188e+000 -1.498942e+000 6.073640e+002
-4.994195e+000 9.512306e+000 -1.498932e+000 6.073638e+002
-4.994139e+000 9.512424e+000 -1.498922e+000 6.073636e+002
-4.994083e+000 9.512543e+000 -1.498912e+000 6.073635e+002
-4.994027e+000 9.512661e+000 -1.498902e+000 6.073633e+002
-4.993970e+000 9.512779e+000 -1.498891e+000 6.073631e+002
-4.993913e+000 9.512897e+000 -1.498881e+000 6.073629e+002
-4.993856e+000 9.513016e+000 -1.498871e+000 6.073627e+002
-4.993800e+000 9.513134e+000 -1.498861e+000 6.073625e+002
-4.993743e+000 9.513253e+000 -1.498851e+000 6.073624e+002
-4.993686e+000 9.513372e+000 -1.498841e+000 6.073622e+002
-4.993629e+000 9.513492e+000 -1.498831e+000 6.073621e+002
-4.993573e+000 9.513611e+000 -1.498820e+000 6.073618e+002
-4.993516e+000 9.513730e+000 -1.498810e+000 6.073617e+002
-4.993459e+000 9.513849e+000 -1.498800e+000 6.073615e+002
-4.993402e+000 9.513968e+000 -1.498790e+000 6.073613e+002
-4.993346e+000 9.514088e+000 -1.498780e+000 6.073611e+002
-4.993289e+000 9.514207e+000 -1.498770e+000 6.073610e+002
-4.993231e+000 9.514326e+000 -1.498760e+000 6.073608e+002
-4.993175e+000 9.514445e+000 -1.498749e+000 6.073606e+002
-4.993117e+000 9.514565e+000 -1.498739e+000 6.073605e+002
-4.993060e+000 9.514684e+000 -1.498729e+000 6.073602e+002
-4.993003e+000 9.514803e+000 -1.498719e+000 6.073601e+002
-4.992946e+000 9.514923e+000 -1.498709e+000 6.073599e+002
-4.992888e+000 9.515043e+000 -1.498699e+000 6.073597e+002
-4.992831e+000 9.515163e+000 -1.498688e+000 6.073596e+002
-4.992774e+000 9.515284e+000 -1.498678e+000 6.073594e+002
-4.992717e+000 9.515404e+000 -1.498668e+000 6.073592e+002
-4.992660e+000 9.515524e+000 -1.498658e+000 6.073590e+002
-4.992602e+000 9.515644e+000 -1.498647e+000 6.073588e+002
-4.992544e+000 9.515764e+000 -1.498637e+000 6.073586e+002
-4.992486e+000 9.515884e+000 -1.498627e+000 6.073585e+002
-4.992429e+000 9.516005e+000 -1.498617e+000 6.073583e+002
-4.992371e+000 9.516125e+000 -1.498607e+000 6.073582e+002
-4.992313e+000 9.516245e+000 -1.498597e+000 6.073580e+002
-4.992256e+000 9.516365e+000 -1.498587e+000 6.073578e+002
-4.992198e+000 9.516485e+000 -1.498577e+000 6.073576e+002
-4.992140e+000 9.516606e+000 -1.498566e+000 6.073574e+002
-4.992083e+000 9.516727e+000 -1.498556e+000 6.073572e+002
-4.992025e+000 9.516849e+000 -1.498546e+000 6.073571e+002
-4.991967e+000 9.516970e+000 -1.498536e+000 6.073569e+002
-4.991910e+000 9.517091e+000 -1.498526e+000 6.073567e+002
-4.991852e+000 9.517212e+000 -1.498516e+000 6.073565e+002
-4.991794e+000 9.517333e+000 -1.498506e+000 6.073563e+002
-4.991735e+000 9.517454e+000 -1.498495e+000 6.073561e+002
-4.991677e+000 9.517575e+000 -1.498485e+000 6.073560e+002
-4.991619e+000 9.517696e+000 -1.498475e+000 6.073558e+002
-4.991561e+000 9.517817e+000 -1.498465e+000 6.073556e+002
-4.991503e+000 9.517939e+000 -1.498455e+000 6.073554e+002
-4.991445e+000 9.518060e+000 -1.498445e+000 6.073552e+002
-4.991386e+000 9.518181e+000 -1.498435e+000 6.073550e+002
-4.991328e+000 9.518303e+000 -1.498424e+000 6.073549e+002
-4.991270e+000 9.518425e+000 -1.498414e+000 6.073547e+002
-4.991211e+000 9.518547e+000 -1.498404e+000 6.073545e+002
-4.991153e+000 9.518669e+000 -1.498394e+000 6.073543e+002
-4.991094e+000 9.518791e+000 -1.498384e+000 6.073541e+002
-4.991035e+000 9.518913e+000 -1.498373e+000 6.073539e+002
-4.990977e+000 9.519035e+000 -1.498363e+000 6.073538e+002
-4.990918e+000 9.519157e+000 -1.498353e+000 6.073536e+002
-4.990860e+000 9.519279e+000 -1.498343e+000 6.073534e+002
-4.990801e+000 9.519402e+000 -1.498333e+000 6.073532e+002
-4.990742e+000 9.519524e+000 -1.498322e+000 6.073530e+002
-4.990684e+000 9.519646e+000 -1.498312e+000 6.073528e+002
-4.990625e+000 9.519769e+000 -1.498302e+000 6.073527e+002
-4.990566e+000 9.519892e+000 -1.498292e+000 6.073525e+002
-4.990508e+000 9.520014e+000 -1.498282e+000 6.073523e+002
-4.990449e+000 9.520137e+000 -1.498272e+000 6.073521e+002
-4.990390e+000 9.520260e+000 -1.498262e+000 6.073519e+002
-4.990331e+000 9.520383e+000 -1.498251e+000 6.073517e+002
-4.990272e+000 9.520506e+000 -1.498241e+000 6.073516e+002
-4.990212e+000 9.520629e+000 -1.498231e+000 6.073514e+002
-4.990153e+000 9.520752e+000 -1.498221e+000 6.073512e+002
-4.990094e+000 9.520875e+000 -1.498211e+000 6.073510e+002
-4.990035e+000 9.520998e+000 -1.498201e+000 6.073508e+002
-4.989976e+000 9.521121e+000 -1.498190e+000 6.073506e+002
-4.989917e+000 9.521244e+000 -1.498180e+000 6.073505e+002
-4.989857e+000 9.521367e+000 -1.498170e+000 6.073502e+002
-4.989798e+000 9.521491e+000 -1.498160e+000 6.073500e+002
-4.989738e+000 9.521614e+000 -1.498150e+000 6.073499e+002
-4.989678e+000 9.521738e+000 -1.498139e+000 6.073497e+002
-4.989619e+000 9.521862e+000 -1.498129e+000 6.073495e+002
-4.989559e+000 9.521986e+000 -1.498119e+000 6.073493e+002
-4.989500e+000 9.522110e+000 -1.498109e+000 6.073491e+002
-4.989440e+000 9.522234e+000 -1.498099e+000 6.073489e+002
-4.989380e+000 9.522358e+000 -1.498088e+000 6.073488e+002
-4.989321e+000 9.522482e+000 -1.498078e+000 6.073485e+002
-4.989261e+000 9.522606e+000 -1.498068e+000 6.073483e+002
-4.989201e+000 9.522730e+000 -1.498058e+000 6.073481e+002
-4.989141e+000 9.522854e+000 -1.498047e+000 6.073480e+002
-4.989081e+000 9.522978e+000 -1.498037e+000 6.073478e+002
-4.989021e+000 9.523102e+000 -1.498027e+000 6.073476e+002
-4.988961e+000 9.523226e+000 -1.498016e+000 6.073474e+002
-4.988901e+000 9.523351e+000 -1.498006e+000 6.073472e+002
-4.988841e+000 9.523476e+000 -1.497996e+000 6.073470e+002
-4.988780e+000 9.523601e+000 -1.497986e+000 6.073468e+002
-4.988720e+000 9.523726e+000 -1.497975e+000 6.073466e+002
-4.988660e+000 9.523850e+000 -1.497965e+000 6.073464e+002
-4.988600e+000 9.523975e+000 -1.497955e+000 6.073463e+002
-4.988539e+000 9.524100e+000 -1.497944e+000 6.073460e+002
-4.988479e+000 9.524225e+000 -1.497934e+000 6.073458e+002
-4.988418e+000 9.524350e+000 -1.497924e+000 6.073456e+002
-4.988358e+000 9.524475e+000 -1.497913e+000 6.073455e+002
