Gradient descent of (x-2)^2+(y-2)^2

gamma = 1.000000e-002, epsilon = 1.000000e-007

      x            y          f(x,y)     
3.000000e+000 -1.000000e+000 1.000000e+001
2.980000e+000 -9.399999e-001 9.603999e+000
2.960400e+000 -8.812000e-001 9.223680e+000
2.941192e+000 -8.235762e-001 8.858424e+000
2.922368e+000 -7.671047e-001 8.507630e+000
2.903920e+000 -7.117626e-001 8.170728e+000
2.885842e+000 -6.575273e-001 7.847167e+000
2.868125e+000 -6.043769e-001 7.536419e+000
2.850762e+000 -5.522893e-001 7.237977e+000
2.833747e+000 -5.012437e-001 6.951354e+000
2.817072e+000 -4.512188e-001 6.676080e+000
2.800730e+000 -4.021944e-001 6.411707e+000
2.784715e+000 -3.541507e-001 6.157804e+000
2.769021e+000 -3.070676e-001 5.913954e+000
2.753641e+000 -2.609262e-001 5.679761e+000
2.738568e+000 -2.157076e-001 5.454843e+000
2.723796e+000 -1.713934e-001 5.238831e+000
2.709320e+000 -1.279656e-001 5.031373e+000
2.695134e+000 -8.540630e-002 4.832130e+000
2.681231e+000 -4.369813e-002 4.640778e+000
2.667607e+000 -2.824101e-003 4.457003e+000
2.654254e+000 3.723240e-002 4.280506e+000
2.641169e+000 7.648785e-002 4.110997e+000
2.628346e+000 1.149581e-001 3.948202e+000
2.615779e+000 1.526589e-001 3.791853e+000
2.603463e+000 1.896057e-001 3.641695e+000
2.591394e+000 2.258137e-001 3.497484e+000
2.579566e+000 2.612974e-001 3.358984e+000
2.567975e+000 2.960715e-001 3.225968e+000
2.556615e+000 3.301501e-001 3.098219e+000
2.545483e+000 3.635471e-001 2.975530e+000
2.534573e+000 3.962761e-001 2.857699e+000
2.523882e+000 4.283506e-001 2.744534e+000
2.513404e+000 4.597836e-001 2.635850e+000
2.503136e+000 4.905879e-001 2.531471e+000
2.493073e+000 5.207762e-001 2.431224e+000
2.483212e+000 5.503606e-001 2.334948e+000
2.473547e+000 5.793533e-001 2.242484e+000
2.464077e+000 6.077662e-001 2.153682e+000
2.454795e+000 6.356109e-001 2.068396e+000
2.445699e+000 6.628987e-001 1.986488e+000
2.436785e+000 6.896406e-001 1.907823e+000
2.428049e+000 7.158478e-001 1.832273e+000
2.419488e+000 7.415308e-001 1.759715e+000
2.411099e+000 7.667002e-001 1.690031e+000
2.402877e+000 7.913662e-001 1.623105e+000
2.394819e+000 8.155388e-001 1.558830e+000
2.386923e+000 8.392280e-001 1.497101e+000
2.379184e+000 8.624434e-001 1.437816e+000
2.371601e+000 8.851945e-001 1.380878e+000
2.364169e+000 9.074906e-001 1.326196e+000
2.356885e+000 9.293408e-001 1.273678e+000
2.349747e+000 9.507539e-001 1.223241e+000
2.342752e+000 9.717388e-001 1.174800e+000
2.335897e+000 9.923040e-001 1.128278e+000
2.329180e+000 1.012458e+000 1.083598e+000
2.322596e+000 1.032209e+000 1.040688e+000
2.316144e+000 1.051565e+000 9.994768e-001
2.309821e+000 1.070533e+000 9.598975e-001
2.303625e+000 1.089123e+000 9.218854e-001
2.297552e+000 1.107340e+000 8.853787e-001
2.291601e+000 1.125193e+000 8.503178e-001
2.285769e+000 1.142689e+000 8.166453e-001
2.280054e+000 1.159836e+000 7.843061e-001
2.274452e+000 1.176639e+000 7.532476e-001
2.268963e+000 1.193106e+000 7.234190e-001
2.263584e+000 1.209244e+000 6.947716e-001
2.258312e+000 1.225059e+000 6.672586e-001
2.253146e+000 1.240558e+000 6.408353e-001
2.248083e+000 1.255747e+000 6.154582e-001
2.243121e+000 1.270632e+000 5.910860e-001
2.238259e+000 1.285219e+000 5.676789e-001
2.233494e+000 1.299515e+000 5.451988e-001
2.228824e+000 1.313524e+000 5.236089e-001
2.224247e+000 1.327254e+000 5.028741e-001
2.219762e+000 1.340709e+000 4.829603e-001
2.215367e+000 1.353895e+000 4.638350e-001
2.211060e+000 1.366817e+000 4.454673e-001
2.206839e+000 1.379480e+000 4.278268e-001
2.202702e+000 1.391891e+000 4.108849e-001
2.198648e+000 1.404053e+000 3.946138e-001
2.194675e+000 1.415972e+000 3.789871e-001
2.190781e+000 1.427652e+000 3.639791e-001
2.186965e+000 1.439099e+000 3.495655e-001
2.183226e+000 1.450317e+000 3.357228e-001
2.179562e+000 1.461311e+000 3.224282e-001
2.175970e+000 1.472085e+000 3.096600e-001
2.172451e+000 1.482643e+000 2.973976e-001
2.169002e+000 1.492990e+000 2.856207e-001
2.165622e+000 1.503130e+000 2.743101e-001
2.162310e+000 1.513068e+000 2.634475e-001
2.159063e+000 1.522806e+000 2.530149e-001
2.155882e+000 1.532350e+000 2.429955e-001
2.152765e+000 1.541703e+000 2.333728e-001
2.149709e+000 1.550869e+000 2.241313e-001
2.146715e+000 1.559852e+000 2.152556e-001
2.143781e+000 1.568655e+000 2.067315e-001
2.140905e+000 1.577282e+000 1.985449e-001
2.138087e+000 1.585736e+000 1.906826e-001
2.135325e+000 1.594021e+000 1.831315e-001
2.132619e+000 1.602141e+000 1.758795e-001
2.129966e+000 1.610098e+000 1.689146e-001
2.127367e+000 1.617896e+000 1.622256e-001
2.124820e+000 1.625538e+000 1.558015e-001
2.122323e+000 1.633028e+000 1.496318e-001
2.119877e+000 1.640367e+000 1.437063e-001
2.117479e+000 1.647560e+000 1.380156e-001
2.115130e+000 1.654608e+000 1.325502e-001
2.112827e+000 1.661516e+000 1.273012e-001
2.110570e+000 1.668286e+000 1.222600e-001
2.108359e+000 1.674920e+000 1.174186e-001
2.106192e+000 1.681422e+000 1.127688e-001
2.104068e+000 1.687793e+000 1.083031e-001
2.101987e+000 1.694038e+000 1.040143e-001
2.099947e+000 1.700157e+000 9.989534e-002
2.097948e+000 1.706154e+000 9.593952e-002
2.095989e+000 1.712031e+000 9.214030e-002
2.094069e+000 1.717790e+000 8.849157e-002
2.092188e+000 1.723434e+000 8.498731e-002
2.090344e+000 1.728965e+000 8.162183e-002
2.088537e+000 1.734386e+000 7.838959e-002
2.086766e+000 1.739698e+000 7.528534e-002
2.085031e+000 1.744904e+000 7.230404e-002
2.083330e+000 1.750006e+000 6.944080e-002
2.081664e+000 1.755006e+000 6.669095e-002
2.080031e+000 1.759906e+000 6.405001e-002
2.078430e+000 1.764708e+000 6.151365e-002
2.076862e+000 1.769414e+000 5.907775e-002
2.075324e+000 1.774025e+000 5.673825e-002
2.073818e+000 1.778545e+000 5.449142e-002
2.072341e+000 1.782974e+000 5.233357e-002
2.070895e+000 1.787315e+000 5.026117e-002
2.069477e+000 1.791568e+000 4.827081e-002
2.068087e+000 1.795737e+000 4.635930e-002
2.066725e+000 1.799822e+000 4.452344e-002
2.065391e+000 1.803826e+000 4.276033e-002
2.064083e+000 1.807749e+000 4.106702e-002
2.062802e+000 1.811594e+000 3.944077e-002
2.061546e+000 1.815362e+000 3.787893e-002
2.060315e+000 1.819055e+000 3.637892e-002
2.059108e+000 1.822674e+000 3.493832e-002
2.057926e+000 1.826220e+000 3.355479e-002
2.056768e+000 1.829696e+000 3.222604e-002
2.055632e+000 1.833102e+000 3.094991e-002
2.054520e+000 1.836440e+000 2.972428e-002
2.053429e+000 1.839711e+000 2.854720e-002
2.052361e+000 1.842917e+000 2.741673e-002
2.051314e+000 1.846059e+000 2.633104e-002
2.050287e+000 1.849137e+000 2.528832e-002
2.049282e+000 1.852155e+000 2.428690e-002
2.048296e+000 1.855112e+000 2.332515e-002
2.047330e+000 1.858009e+000 2.240149e-002
2.046384e+000 1.860849e+000 2.151440e-002
2.045456e+000 1.863632e+000 2.066242e-002
2.044547e+000 1.866360e+000 1.984418e-002
2.043656e+000 1.869032e+000 1.905835e-002
2.042783e+000 1.871652e+000 1.830363e-002
2.041927e+000 1.874219e+000 1.757882e-002
